Mutant,com.google.javascript.jscomp.FunctionRewriterTest[testReplaceEmptyFunction2],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceEmptyFunction3],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceGetter2],com.google.javascript.jscomp.CommandLineRunnerTest[testCheckGlobalThisOnWithAdvancedMode],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceEmptyFunction1],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceSetter3],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceGetter1],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceSetter2],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceIdentityFunction2],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceReturnConst1],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceReturnConst2],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceReturnConst3],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceSetter1],com.google.javascript.jscomp.CommandLineRunnerTest[testDebugFlag4],com.google.javascript.jscomp.FunctionRewriterTest[testIssue538],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceSetter4],com.google.javascript.jscomp.CommandLineRunnerTest[testReflectedMethods],com.google.javascript.jscomp.CommandLineRunnerTest[testDebugFlag3],com.google.javascript.jscomp.FunctionRewriterTest[testReplaceIdentityFunction1],com.google.javascript.jscomp.FunctionRewriter_ESTest[test0],com.google.javascript.jscomp.FunctionRewriter_ESTest[test3],com.google.javascript.jscomp.FunctionRewriter_ESTest[test6],com.google.javascript.jscomp.FunctionRewriter_ESTest[test1],com.google.javascript.jscomp.FunctionRewriter_ESTest[test2],com.google.javascript.jscomp.FunctionRewriter_ESTest[test4],com.google.javascript.jscomp.FunctionRewriter_ESTest[test5],com.google.javascript.jscomp.CommandLineRunnerTest[testIssue504],com.google.javascript.jscomp.CommandLineRunnerTest[testIssue81],com.google.javascript.jscomp.CommandLineRunnerTest[testGoogAssertStripping],Total,Equiv?
1,PASS,EXC,PASS,PASS,EXC,PASS,EXC,EXC,PASS,EXC,PASS,EXC,EXC,PASS,EXC,PASS,PASS,PASS,EXC,EXC,PASS,PASS,EXC,EXC,PASS,PASS,PASS,PASS,PASS,12,
10, ,FAIL, , ,FAIL, ,FAIL,FAIL, ,FAIL, ,FAIL,FAIL,PASS,PASS, , ,PASS,FAIL,PASS, , ,PASS,EXC, , , , , ,9,
100, , ,EXC, , ,EXC, , ,EXC, ,EXC, , , , ,EXC,FAIL, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC, , , ,13,
101, , ,PASS, , ,PASS, , ,PASS, ,PASS, , , , ,PASS,PASS, ,FAIL, ,PASS,PASS,PASS,PASS,PASS,PASS, , , ,1,
102, , ,PASS, , ,PASS, , ,PASS, ,EXC, , , , ,PASS,PASS, ,FAIL, ,PASS,PASS,PASS,PASS,EXC,PASS, , , ,3,
103, , ,PASS, , ,PASS, , ,PASS, ,EXC, , , , ,PASS,PASS, ,PASS, ,PASS,PASS,PASS,PASS,EXC,PASS, , , ,2,
104, , ,PASS, , ,PASS, , ,PASS, ,PASS, , , , ,PASS,PASS, ,FAIL, ,PASS,PASS,PASS,PASS,PASS,PASS, , , ,1,
105, , ,FAIL, , ,FAIL, , , , ,FAIL, , , , , , , , , , , , , ,PASS, , , , ,3,
106, , ,PASS, , ,PASS, , , , ,EXC, , , , , , , , , , , , , ,EXC, , , , ,2,
107, , , , , , , , ,PASS, , , , , , ,PASS,PASS, ,FAIL, ,PASS,PASS,PASS,PASS, ,PASS, , , ,1,
108, , , , , , , , ,PASS, , , , , , ,EXC,FAIL, ,FAIL, ,EXC,PASS,PASS,PASS, ,PASS, , , ,4,
109, , , , , , , , ,PASS, , , , , , ,PASS,PASS, ,FAIL, ,PASS,PASS,PASS,PASS, ,PASS, , , ,1,
11, ,PASS, , ,PASS, ,PASS,PASS, ,PASS, ,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS, , ,PASS,EXC, , , , , ,1,
110, , , , , , , , ,PASS, , , , , , ,EXC,FAIL, ,PASS, ,EXC,PASS,PASS,PASS, ,PASS, , , ,3,
