Mutant,com.google.javascript.jscomp.ProcessCommonJSModulesTest[testGuessModuleName],com.google.javascript.jscomp.CompilerTest[testCommonJSMissingRequire],com.google.javascript.jscomp.ProcessCommonJSModulesTest[testDash],com.google.javascript.jscomp.ProcessCommonJSModulesTest[testVarRenaming],com.google.javascript.jscomp.CompilerTest[testCommonJSProvidesAndRequire],com.google.javascript.jscomp.ProcessCommonJSModulesTest[testModuleName],com.google.javascript.jscomp.ProcessCommonJSModulesTest[testWithoutExports],com.google.javascript.jscomp.CommandLineRunnerTest[testProcessCJS],com.google.javascript.jscomp.CommandLineRunnerTest[testTransformAMDAndProcessCJS],com.google.javascript.jscomp.ProcessCommonJSModulesTest[testExports],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test5],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test4],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test3],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test2],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test6],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test7],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test0],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test1],Total,Equiv?
1, , , , , , , , , , , , , , , , , , ,0,
10,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,PASS, ,PASS,PASS, , ,6,
100, ,PASS,FAIL, ,PASS,FAIL,FAIL, , ,FAIL, , , , , , , , ,4,
101, ,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, , , , , , , , ,6,
102, ,FAIL,PASS, ,FAIL,PASS,PASS, , ,PASS, , , , , , , , ,2,
103, ,PASS,PASS, ,PASS,PASS,PASS, , ,PASS, , , , , , , , ,0,
104, ,FAIL, , ,TIME, , , , , , , , , , , , , ,2,
105, ,PASS,EXC, ,PASS,EXC,EXC, , ,EXC, , , , , , , , ,4,
106, ,PASS,EXC, ,PASS,EXC,EXC, , ,EXC, , , , , , , , ,4,
107, ,PASS,FAIL, ,PASS,FAIL,FAIL, , ,FAIL, , , , , , , , ,4,
108, ,PASS,PASS, ,PASS,PASS,PASS, , ,PASS, , , , , , , , ,0,
109, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,PASS,EXC, , ,10,
11,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS, , ,0,
110, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,PASS,EXC, , ,10,
111, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,PASS,EXC, , ,10,
112, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,PASS,EXC, , ,10,
113, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, , ,0,
114, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,PASS,EXC, , ,10,
115, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,FAIL,PASS, , ,1,
116, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,PASS,EXC, , ,10,
117, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,FAIL,PASS, , ,1,
118, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, , ,0,
119, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,FAIL,PASS, , ,1,
12,FAIL,EXC,PASS,PASS,EXC,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,PASS,PASS, , ,5,
120, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
121, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,FAIL, , , , ,PASS,PASS, , ,6,
122, ,EXC,PASS,PASS,EXC,PASS,PASS,FAIL,FAIL,PASS, , , , ,PASS,PASS, , ,4,
123, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,FAIL,PASS, , ,1,
124, ,EXC, , ,EXC, , ,FAIL,FAIL, , , , , , ,EXC, , ,5,
125, ,EXC, , ,EXC, , ,FAIL,FAIL, , , , , , ,PASS, , ,4,
126, ,EXC, , ,EXC, , ,FAIL,FAIL, , , , , , ,EXC, , ,5,
127, ,EXC, , ,FAIL, , ,FAIL,FAIL, , , , , , ,PASS, , ,4,
128, ,EXC, , ,EXC, , ,FAIL,FAIL, , , , , , ,PASS, , ,4,
129, ,PASS,EXC,EXC,PASS,EXC,EXC,FAIL,FAIL,EXC, , , , ,PASS,PASS, , ,7,
13,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS, , ,0,
130, ,PASS,EXC,EXC,PASS,EXC,EXC,FAIL,FAIL,EXC, , , , ,PASS,PASS, , ,7,
131, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL, , , , ,PASS,PASS, , ,5,
132, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , , , ,PASS,PASS, , ,1,
133, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , ,PASS,PASS, , ,7,
134, ,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, , ,1,
135, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , , , ,PASS,PASS, , ,1,
136, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , ,PASS,PASS, , ,7,
137, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , ,PASS,PASS, , ,7,
138, , , , , , , , , ,EXC, , , , , , , , ,1,
139, , , , , , , , , ,FAIL, , , , , , , , ,1,
14,FAIL,EXC,FAIL,FAIL,EXC,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,PASS,PASS, , ,13,
140, , , , , , , , , ,EXC, , , , , , , , ,1,
141, , , , , , , , , ,FAIL, , , , , , , , ,1,
142, , , , , , , , , ,PASS, , , , , , , , ,0,
143, , , , , , , , , ,PASS, , , , , , , , ,0,
144, , , , , , , , , ,PASS, , , , , , , , ,0,
145, , , , , , , , , ,FAIL, , , , , , , , ,1,
146, , , , , , , , , ,FAIL, , , , , , , , ,1,
147, , , , , , , , , ,FAIL, , , , , , , , ,1,
148, , , , , , , , , ,PASS, , , , , , , , ,0,
149, , , , , , , , , ,PASS, , , , , , , , ,0,
