Mutant,com.google.javascript.jscomp.CheckGlobalThisTest[testIssue182b],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction4],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction8],com.google.javascript.jscomp.CheckGlobalThisTest[testPropertyOfMethod],com.google.javascript.jscomp.CheckGlobalThisTest[testGlobalThis2],com.google.javascript.jscomp.CheckGlobalThisTest[testGlobalThis3],com.google.javascript.jscomp.CheckGlobalThisTest[testGlobalThis4],com.google.javascript.jscomp.CheckGlobalThisTest[testGlobalThis5],com.google.javascript.jscomp.CheckGlobalThisTest[testGlobalThis7],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticMethod1],com.google.javascript.jscomp.CheckGlobalThisTest[testInnerFunction1],com.google.javascript.jscomp.CheckGlobalThisTest[testInnerFunction2],com.google.javascript.jscomp.CheckGlobalThisTest[testInnerFunction3],com.google.javascript.jscomp.CheckGlobalThisTest[testIssue182a],com.google.javascript.jscomp.CheckGlobalThisTest[testIssue182c],com.google.javascript.jscomp.CheckGlobalThisTest[testLendsAnnotation1],com.google.javascript.jscomp.CheckGlobalThisTest[testLendsAnnotation2],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction2],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction5],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction6],com.google.javascript.jscomp.CheckGlobalThisTest[testThisJSDoc4],com.google.javascript.jscomp.CheckGlobalThisTest[testGlobalThis1],com.google.javascript.jscomp.CheckGlobalThisTest[testGlobalThis6],com.google.javascript.jscomp.CheckGlobalThisTest[testConstructor1],com.google.javascript.jscomp.CheckGlobalThisTest[testConstructor2],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunctionInMethod1],com.google.javascript.jscomp.CheckGlobalThisTest[testMethod1],com.google.javascript.jscomp.CheckGlobalThisTest[testMethod2],com.google.javascript.jscomp.CheckGlobalThisTest[testInterface1],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction3],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction7],com.google.javascript.jscomp.CheckGlobalThisTest[testThisJSDoc2],com.google.javascript.jscomp.CheckGlobalThisTest[testThisJSDoc3],com.google.javascript.jscomp.CheckGlobalThisTest[testThisJSDoc5],com.google.javascript.jscomp.CheckGlobalThisTest[testConstructor3],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticMethod2],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticMethod3],com.google.javascript.jscomp.CheckGlobalThisTest[testMethodInStaticFunction],com.google.javascript.jscomp.CheckGlobalThisTest[testMethod3],com.google.javascript.jscomp.CheckGlobalThisTest[testMethod4],com.google.javascript.jscomp.CheckGlobalThisTest[testIssue182d],com.google.javascript.jscomp.CheckGlobalThisTest[testLendsAnnotation3],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunctionInMethod2],com.google.javascript.jscomp.CheckGlobalThisTest[testInnerFunction4],com.google.javascript.jscomp.CheckGlobalThisTest[testOverride1],com.google.javascript.jscomp.CommandLineRunnerTest[testCheckUndefinedProperties1],com.google.javascript.jscomp.CommandLineRunnerTest[testCheckSymbolsOnForVerbose],com.google.javascript.jscomp.CheckGlobalThisTest[testThisJSDoc1],com.google.javascript.jscomp.CommandLineRunnerTest[testTypeCheckingOnWithVerbose],com.google.javascript.jscomp.CommandLineRunnerTest[testCheckUndefinedProperties2],com.google.javascript.jscomp.CommandLineRunnerTest[testCheckUndefinedProperties3],com.google.javascript.jscomp.CommandLineRunnerTest[testTypeCheckOverride1],com.google.javascript.jscomp.CommandLineRunnerTest[testCheckSymbolsOverrideForVerbose],com.google.javascript.jscomp.CommandLineRunnerTest[testIssue115],com.google.javascript.jscomp.CommandLineRunnerTest[testDebugFlag4],com.google.javascript.jscomp.CommandLineRunnerTest[testExternsLifting2],com.google.javascript.jscomp.CommandLineRunnerTest[testIssue81],com.google.javascript.jscomp.CommandLineRunnerTest[testDebugFlag3],com.google.javascript.jscomp.CommandLineRunnerTest[testForwardDeclareDroppedTypes],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction1],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test10],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test00],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test12],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test02],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test07],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test03],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test14],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test08],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test06],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test13],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test11],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test04],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test05],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test01],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test09],Total,Equiv?
1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,FAIL, ,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,19,
100,PASS, , , , , , , , , , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , , , , , , , , , ,PASS, , , , ,PASS,PASS, , , , ,PASS, ,PASS, , , , , , , , , , , , , , , , , ,FAIL, , , , , , ,PASS, , , ,PASS, , ,1,
101,FAIL, , , , , , , , , , , , ,FAIL, ,FAIL,FAIL, ,PASS,PASS, , , , , , , , , , ,PASS, , , , ,PASS,PASS, , , , ,PASS, ,PASS, , , , , , , , , , , , , , , , , ,PASS, , , , , , ,PASS, , , ,FAIL, , ,5,
102,PASS, , , , , , , , , , , , ,PASS, ,PASS,PASS, ,PASS,FAIL, , , , , , , , , , ,FAIL, , , , ,FAIL,FAIL, , , , ,PASS, ,FAIL, , , , , , , , , , , , , , , , , ,FAIL, , , , , , ,PASS, , , ,PASS, , ,6,
103,PASS,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS, ,PASS, , ,PASS,PASS,PASS,PASS,0,
104,FAIL,FAIL,FAIL,FAIL, , , , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, ,FAIL, ,FAIL,FAIL, ,PASS, , ,FAIL,FAIL,FAIL,FAIL,20,
105,FAIL,FAIL,FAIL,FAIL, , , , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,FAIL, ,FAIL, ,FAIL,FAIL, ,PASS, , ,FAIL,FAIL,FAIL,FAIL,21,
106,FAIL,FAIL,FAIL,FAIL, , , , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, ,FAIL, ,FAIL,FAIL, ,PASS, , ,FAIL,FAIL,FAIL,FAIL,20,
107,FAIL,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS, ,PASS, , ,PASS,FAIL,PASS,PASS,5,
108,PASS,FAIL,FAIL,FAIL, , , , , ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, ,FAIL, ,FAIL,FAIL, ,PASS, , ,FAIL,PASS,FAIL,FAIL,15,
