Mutant,org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeJson],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeJavaWithSlash],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeXmlSupplementaryCharacters],org.apache.commons.lang3.StringEscapeUtilsTest[testLang313],org.apache.commons.lang3.StringEscapeUtilsTest[testLang720],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeCsvWriter],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeHtmlHighUnicode],org.apache.commons.lang3.StringEscapeUtilsTest[testUnescapeXmlSupplementaryCharacters],org.apache.commons.lang3.StringEscapeUtilsTest[testUnescapeCsvString],org.apache.commons.lang3.StringEscapeUtilsTest[testUnescapeCsvWriter],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeHtmlVersions],org.apache.commons.lang3.StringEscapeUtilsTest[testUnescapeUnknownEntity],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeHiragana],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeXml],org.apache.commons.lang3.StringEscapeUtilsTest[testConstructor],org.apache.commons.lang3.StringUtilsTest[testUnescapeSurrogatePairs],org.apache.commons.lang3.StringUtilsTest[testEscapeSurrogatePairsLang858],org.apache.commons.lang3.text.translate.LookupTranslatorTest[testLang882],org.apache.commons.lang3.StringEscapeUtilsTest[testUnescapeJava],org.apache.commons.lang3.StringEscapeUtilsTest[testStandaloneAmphersand],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeJava],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeEcmaScript],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeHtml],org.apache.commons.lang3.StringEscapeUtilsTest[testUnescapeHtml4],org.apache.commons.lang3.text.translate.LookupTranslatorTest[testBasicLookup],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeCsvString],org.apache.commons.lang3.StringUtilsTest[testEscapeSurrogatePairs],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeXmlAllCharacters],org.apache.commons.lang3.StringEscapeUtilsTest[testLang708],org.apache.commons.lang3.reflect.TypeUtilsTest[testIsAssignable],org.apache.commons.lang3.StringEscapeUtilsTest[testUnescapeHexCharsHtml],org.apache.commons.lang3.text.translate.LookupTranslator_ESTest[test2],org.apache.commons.lang3.text.translate.LookupTranslator_ESTest[test3],org.apache.commons.lang3.text.translate.LookupTranslator_ESTest[test0],org.apache.commons.lang3.text.translate.LookupTranslator_ESTest[test4],org.apache.commons.lang3.text.translate.LookupTranslator_ESTest[test1],Total,Equiv?
1,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,TIME,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,TIME,TIME,EXC,EXC,EXC,EXC,EXC,EXC,EXC,TIME,EXC,EXC,EXC,PASS,EXC,EXC,35,
10,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,EXC,PASS, ,PASS,PASS,15,
11,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,35,
12,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL,PASS,15,
13,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,EXC,EXC, ,PASS,EXC,15,
14,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,35,
15,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,0,
16,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,0,
17,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL,PASS,15,
18,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL,PASS,15,
19,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL,PASS,15,
2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
20,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL,PASS,15,
21,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,0,
22,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL,PASS,15,
23,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,2,
24,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL,PASS,15,
25,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL,PASS,15,
26,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL,PASS,15,
27,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,0,
28,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL,PASS,15,
