Mutant,org.apache.commons.lang.WordUtilsTest[testUncapitalize_String],org.apache.commons.lang.WordUtilsTest[testCapitalize_String],org.apache.commons.lang.WordUtilsTest[testCapitalizeFully_String],org.apache.commons.lang.WordUtilsTest[testWrap_StringInt],org.apache.commons.lang.WordUtilsTest[testUncapitalizeWithDelimiters_String],org.apache.commons.lang.WordUtilsTest[testInitials_String],org.apache.commons.lang.WordUtilsTest[testCapitalizeFullyWithDelimiters_String],org.apache.commons.lang.WordUtilsTest[testInitials_String_charArray],org.apache.commons.lang.WordUtilsTest[testSwapCase_String],org.apache.commons.lang.WordUtilsTest[testWrap_StringIntStringBoolean],org.apache.commons.lang.WordUtilsTest[testAbbreviate],org.apache.commons.lang.StringUtilsTest[testSwapCase_String],org.apache.commons.lang.WordUtilsTest[testCapitalizeWithDelimiters_String],org.apache.commons.lang.WordUtils_ESTest[test19],org.apache.commons.lang.WordUtils_ESTest[test18],org.apache.commons.lang.WordUtils_ESTest[test30],org.apache.commons.lang.WordUtils_ESTest[test02],org.apache.commons.lang.WordUtils_ESTest[test26],org.apache.commons.lang.WordUtils_ESTest[test00],org.apache.commons.lang.WordUtils_ESTest[test22],org.apache.commons.lang.WordUtils_ESTest[test31],org.apache.commons.lang.WordUtils_ESTest[test32],org.apache.commons.lang.WordUtils_ESTest[test17],org.apache.commons.lang.WordUtils_ESTest[test24],org.apache.commons.lang.WordUtils_ESTest[test25],org.apache.commons.lang.WordUtils_ESTest[test05],org.apache.commons.lang.WordUtils_ESTest[test27],org.apache.commons.lang.WordUtils_ESTest[test20],org.apache.commons.lang.WordUtils_ESTest[test21],org.apache.commons.lang.WordUtils_ESTest[test01],org.apache.commons.lang.WordUtils_ESTest[test23],org.apache.commons.lang.WordUtils_ESTest[test06],org.apache.commons.lang.WordUtils_ESTest[test28],org.apache.commons.lang.WordUtils_ESTest[test09],org.apache.commons.lang.WordUtils_ESTest[test14],org.apache.commons.lang.WordUtils_ESTest[test08],org.apache.commons.lang.WordUtils_ESTest[test11],org.apache.commons.lang.WordUtils_ESTest[test03],org.apache.commons.lang.WordUtils_ESTest[test07],org.apache.commons.lang.WordUtils_ESTest[test16],org.apache.commons.lang.WordUtils_ESTest[test29],org.apache.commons.lang.WordUtils_ESTest[test13],org.apache.commons.lang.WordUtils_ESTest[test12],org.apache.commons.lang.WordUtils_ESTest[test15],org.apache.commons.lang.WordUtils_ESTest[test10],Total,Equiv?
1, , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,PASS, , , , , , , ,2,
10, , , ,PASS, , , , , ,PASS, , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, , , ,PASS, , ,PASS, , , , , , ,0,
100, , , ,FAIL, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , ,3,
101, , , ,PASS, , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
102, , , ,TIME, , , , , ,TIME, , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,2,
103, , , ,FAIL, , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,FAIL, , , , , , ,4,
104, , , ,TIME, , , , , ,TIME, , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , , , , , ,2,
105, , , ,FAIL, , , , , ,FAIL, , , , , , , , , , , , , , , ,FAIL, , , , , ,PASS, , , ,PASS, , ,PASS, , , , , , ,3,
106, , , ,FAIL, , , , , ,FAIL, , , , , , , , , , , , , , , ,FAIL, , , , , ,FAIL, , , ,FAIL, , ,FAIL, , , , , , ,6,
107, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , ,2,
108, ,EXC,EXC, , , ,EXC, , , , , ,EXC, , , , , ,EXC, , , , , , , , , , , , , , ,EXC, , ,PASS, , , , , , , ,PASS,6,
109, ,EXC,EXC, , , ,EXC, , , , , ,EXC, , , , , ,EXC, , , , , , , , , , , , , , ,EXC, , ,PASS, , , , , , , ,PASS,6,
11, , , ,EXC, , , , , ,EXC, , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, , , ,PASS, , ,PASS, , , , , , ,2,
110, ,PASS,PASS, , , ,PASS, , , , , ,PASS, , , , , ,PASS, , , , , , , , , , , , , , ,PASS, , ,PASS, , , , , , , ,PASS,0,
111, ,FAIL,FAIL, , , ,FAIL, , , , , ,FAIL, , , , , ,PASS, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , ,4,
112, ,PASS,PASS, , , ,PASS, , , , , ,PASS, , , , , ,PASS, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , ,0,
