Mutant,org.apache.commons.lang.math.FractionTest[testAbs],org.apache.commons.lang.math.FractionTest[testSubtract],org.apache.commons.lang.math.FractionTest[testGets],org.apache.commons.lang.math.FractionTest[testFactory_String],org.apache.commons.lang.math.FractionTest[testFactory_int_int_int],org.apache.commons.lang.math.FractionTest[testCompareTo],org.apache.commons.lang.math.FractionTest[testConstants],org.apache.commons.lang.math.FractionTest[testToProperString],org.apache.commons.lang.math.FractionTest[testHashCode],org.apache.commons.lang.math.FractionTest[testFactory_String_double],org.apache.commons.lang.math.FractionTest[testDivide],org.apache.commons.lang.math.FractionTest[testEquals],org.apache.commons.lang.math.FractionTest[testInvert],org.apache.commons.lang.math.FractionTest[testFactory_String_proper],org.apache.commons.lang.math.FractionTest[testNegate],org.apache.commons.lang.math.FractionTest[testReduce],org.apache.commons.lang.math.FractionTest[testFactory_int_int],org.apache.commons.lang.math.FractionTest[testReducedFactory_int_int],org.apache.commons.lang.math.FractionTest[testAdd],org.apache.commons.lang.math.FractionTest[testToString],org.apache.commons.lang.math.FractionTest[testFactory_String_improper],org.apache.commons.lang.math.FractionTest[testMultiply],org.apache.commons.lang.math.FractionTest[testConversions],org.apache.commons.lang.math.FractionTest[testPow],org.apache.commons.lang.math.FractionTest[testFactory_double],org.apache.commons.lang.math.Fraction_ESTest[test02],org.apache.commons.lang.math.Fraction_ESTest[test46],org.apache.commons.lang.math.Fraction_ESTest[test42],org.apache.commons.lang.math.Fraction_ESTest[test08],org.apache.commons.lang.math.Fraction_ESTest[test06],org.apache.commons.lang.math.Fraction_ESTest[test07],org.apache.commons.lang.math.Fraction_ESTest[test59],org.apache.commons.lang.math.Fraction_ESTest[test16],org.apache.commons.lang.math.Fraction_ESTest[test13],org.apache.commons.lang.math.Fraction_ESTest[test57],org.apache.commons.lang.math.Fraction_ESTest[test14],org.apache.commons.lang.math.Fraction_ESTest[test58],org.apache.commons.lang.math.Fraction_ESTest[test11],org.apache.commons.lang.math.Fraction_ESTest[test55],org.apache.commons.lang.math.Fraction_ESTest[test10],org.apache.commons.lang.math.Fraction_ESTest[test19],org.apache.commons.lang.math.Fraction_ESTest[test17],org.apache.commons.lang.math.Fraction_ESTest[test18],org.apache.commons.lang.math.Fraction_ESTest[test51],org.apache.commons.lang.math.Fraction_ESTest[test52],org.apache.commons.lang.math.Fraction_ESTest[test25],org.apache.commons.lang.math.Fraction_ESTest[test23],org.apache.commons.lang.math.Fraction_ESTest[test20],org.apache.commons.lang.math.Fraction_ESTest[test21],org.apache.commons.lang.math.Fraction_ESTest[test65],org.apache.commons.lang.math.Fraction_ESTest[test28],org.apache.commons.lang.math.Fraction_ESTest[test62],org.apache.commons.lang.math.Fraction_ESTest[test63],org.apache.commons.lang.math.Fraction_ESTest[test61],org.apache.commons.lang.math.Fraction_ESTest[test39],org.apache.commons.lang.math.Fraction_ESTest[test43],org.apache.commons.lang.math.Fraction_ESTest[test09],org.apache.commons.lang.math.Fraction_ESTest[test40],org.apache.commons.lang.math.Fraction_ESTest[test41],org.apache.commons.lang.math.Fraction_ESTest[test15],org.apache.commons.lang.math.Fraction_ESTest[test53],org.apache.commons.lang.math.Fraction_ESTest[test26],org.apache.commons.lang.math.Fraction_ESTest[test27],org.apache.commons.lang.math.Fraction_ESTest[test24],org.apache.commons.lang.math.Fraction_ESTest[test22],org.apache.commons.lang.math.Fraction_ESTest[test64],org.apache.commons.lang.math.Fraction_ESTest[test29],org.apache.commons.lang.math.Fraction_ESTest[test60],org.apache.commons.lang.math.Fraction_ESTest[test37],org.apache.commons.lang.math.Fraction_ESTest[test36],org.apache.commons.lang.math.Fraction_ESTest[test34],org.apache.commons.lang.math.Fraction_ESTest[test31],org.apache.commons.lang.math.Fraction_ESTest[test05],org.apache.commons.lang.math.Fraction_ESTest[test03],org.apache.commons.lang.math.Fraction_ESTest[test47],org.apache.commons.lang.math.Fraction_ESTest[test00],org.apache.commons.lang.math.Fraction_ESTest[test01],org.apache.commons.lang.math.Fraction_ESTest[test56],org.apache.commons.lang.math.Fraction_ESTest[test54],org.apache.commons.lang.math.Fraction_ESTest[test49],org.apache.commons.lang.math.Fraction_ESTest[test50],org.apache.commons.lang.math.Fraction_ESTest[test38],org.apache.commons.lang.math.Fraction_ESTest[test12],org.apache.commons.lang.math.Fraction_ESTest[test44],org.apache.commons.lang.math.Fraction_ESTest[test45],org.apache.commons.lang.math.Fraction_ESTest[test33],org.apache.commons.lang.math.Fraction_ESTest[test48],org.apache.commons.lang.math.Fraction_ESTest[test32],org.apache.commons.lang.math.Fraction_ESTest[test35],org.apache.commons.lang.math.Fraction_ESTest[test04],org.apache.commons.lang.math.Fraction_ESTest[test30],Total,Equiv?
1,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,15,
10,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
100,EXC,EXC, , , ,EXC, ,EXC,EXC, ,EXC,EXC,EXC, ,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, ,EXC, , ,EXC,EXC, , , , , , , , ,EXC, , , , , , , ,EXC,EXC, , , ,EXC,EXC,EXC, ,EXC,EXC, , , ,EXC, , ,EXC,EXC, , , , , , ,EXC, , , , , , , ,EXC,EXC, , ,EXC, ,EXC, , , , ,EXC, , ,35,
1000, ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , ,EXC, , , , ,EXC, , , , , , , , , , ,EXC, , , , , ,4,
1001, ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,EXC, , , , ,EXC, , , , , , , , , , ,EXC, , , , , ,5,
1002, ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,EXC, , , , ,EXC, , , , , , , , , , ,EXC, , , , , ,5,
1003, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,PASS, , , , ,PASS, , , , , , , , , , ,PASS, , , , , ,2,
1004, ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , ,PASS, , , , ,PASS, , , , , , , , , , ,PASS, , , , , ,0,
1005, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,PASS, , , , ,PASS, , , , , , , , , , ,PASS, , , , , ,2,
1006, ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , ,EXC, , , , ,EXC, , , , , , , , , , ,EXC, , , , , ,4,
1007, ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , ,PASS, , , , ,PASS, , , , , , ,PASS, , , ,PASS, , , , , ,0,
1008, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,PASS, , , , ,PASS, , , , , , ,FAIL, , , ,PASS, , , , , ,3,
1009, ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,EXC, , , , ,EXC, , , , , , ,FAIL, , , ,EXC, , , , , ,6,
101, , ,EXC, ,FAIL,PASS, ,EXC, , , , , ,EXC, , , , , ,EXC, , ,PASS, , , , , , , , , , ,PASS, , , ,PASS, ,FAIL, , , , , , , , , , , , , , , , ,PASS, , , ,EXC, , , ,PASS, , , , , , , , , , , , , , , , , ,PASS, , ,EXC, , , , , ,8,
