Mutant,org.apache.commons.lang.time.DateUtilsTest[testIsSameInstant_Date],org.apache.commons.lang.time.DateUtilsTest[testIsSameDay_Date],org.apache.commons.lang.time.DateUtilsTest[testIsSameDay_Cal],org.apache.commons.lang.time.DateUtilsTest[testIteratorEx],org.apache.commons.lang.time.DateUtilsTest[testAddSeconds],org.apache.commons.lang.time.DateUtilsTest[testAddHours],org.apache.commons.lang.time.DateUtilsTest[testAddWeeks],org.apache.commons.lang.time.DateUtilsTest[testAddYears],org.apache.commons.lang.time.DateUtilsTest[testIsSameInstant_Cal],org.apache.commons.lang.time.DateUtilsTest[testParseDate],org.apache.commons.lang.time.DateUtilsTest[testRoundLang346],org.apache.commons.lang.time.DateUtilsTest[testAddDays],org.apache.commons.lang.time.DateUtilsTest[testIsSameLocalTime_Cal],org.apache.commons.lang.time.DateUtilsTest[testMonthIterator],org.apache.commons.lang.time.DateUtilsTest[testTruncate],org.apache.commons.lang.time.DateUtilsTest[testWeekIterator],org.apache.commons.lang.time.DateUtilsTest[testAddMinutes],org.apache.commons.lang.time.DateUtilsTest[testRound],org.apache.commons.lang.time.DateUtilsTest[testTruncateLang59],org.apache.commons.lang.time.DateUtils_ESTest[test68],org.apache.commons.lang.time.DateUtils_ESTest[test22],org.apache.commons.lang.time.DateUtils_ESTest[test38],org.apache.commons.lang.time.DateUtils_ESTest[test35],org.apache.commons.lang.time.DateUtils_ESTest[test34],org.apache.commons.lang.time.DateUtils_ESTest[test41],org.apache.commons.lang.time.DateUtils_ESTest[test48],org.apache.commons.lang.time.DateUtils_ESTest[test03],org.apache.commons.lang.time.DateUtils_ESTest[test47],org.apache.commons.lang.time.DateUtils_ESTest[test00],org.apache.commons.lang.time.DateUtils_ESTest[test44],org.apache.commons.lang.time.DateUtils_ESTest[test01],org.apache.commons.lang.time.DateUtils_ESTest[test45],org.apache.commons.lang.time.DateUtils_ESTest[test42],org.apache.commons.lang.time.DateUtils_ESTest[test52],org.apache.commons.lang.time.DateUtils_ESTest[test19],org.apache.commons.lang.time.DateUtils_ESTest[test17],org.apache.commons.lang.time.DateUtils_ESTest[test18],org.apache.commons.lang.time.DateUtils_ESTest[test15],org.apache.commons.lang.time.DateUtils_ESTest[test59],org.apache.commons.lang.time.DateUtils_ESTest[test57],org.apache.commons.lang.time.DateUtils_ESTest[test14],org.apache.commons.lang.time.DateUtils_ESTest[test12],org.apache.commons.lang.time.DateUtils_ESTest[test54],org.apache.commons.lang.time.DateUtils_ESTest[test27],org.apache.commons.lang.time.DateUtils_ESTest[test25],org.apache.commons.lang.time.DateUtils_ESTest[test23],org.apache.commons.lang.time.DateUtils_ESTest[test21],org.apache.commons.lang.time.DateUtils_ESTest[test30],org.apache.commons.lang.time.DateUtils_ESTest[test70],org.apache.commons.lang.time.DateUtils_ESTest[test39],org.apache.commons.lang.time.DateUtils_ESTest[test31],org.apache.commons.lang.time.DateUtils_ESTest[test40],org.apache.commons.lang.time.DateUtils_ESTest[test09],org.apache.commons.lang.time.DateUtils_ESTest[test06],org.apache.commons.lang.time.DateUtils_ESTest[test07],org.apache.commons.lang.time.DateUtils_ESTest[test49],org.apache.commons.lang.time.DateUtils_ESTest[test46],org.apache.commons.lang.time.DateUtils_ESTest[test43],org.apache.commons.lang.time.DateUtils_ESTest[test51],org.apache.commons.lang.time.DateUtils_ESTest[test16],org.apache.commons.lang.time.DateUtils_ESTest[test13],org.apache.commons.lang.time.DateUtils_ESTest[test58],org.apache.commons.lang.time.DateUtils_ESTest[test55],org.apache.commons.lang.time.DateUtils_ESTest[test56],org.apache.commons.lang.time.DateUtils_ESTest[test53],org.apache.commons.lang.time.DateUtils_ESTest[test10],org.apache.commons.lang.time.DateUtils_ESTest[test24],org.apache.commons.lang.time.DateUtils_ESTest[test69],org.apache.commons.lang.time.DateUtils_ESTest[test71],org.apache.commons.lang.time.DateUtils_ESTest[test72],org.apache.commons.lang.time.DateUtils_ESTest[test37],org.apache.commons.lang.time.DateUtils_ESTest[test33],org.apache.commons.lang.time.DateUtils_ESTest[test32],org.apache.commons.lang.time.DateUtils_ESTest[test02],org.apache.commons.lang.time.DateUtils_ESTest[test20],org.apache.commons.lang.time.DateUtils_ESTest[test36],org.apache.commons.lang.time.DateUtils_ESTest[test28],org.apache.commons.lang.time.DateUtils_ESTest[test04],org.apache.commons.lang.time.DateUtils_ESTest[test05],org.apache.commons.lang.time.DateUtils_ESTest[test11],org.apache.commons.lang.time.DateUtils_ESTest[test66],org.apache.commons.lang.time.DateUtils_ESTest[test50],org.apache.commons.lang.time.DateUtils_ESTest[test61],org.apache.commons.lang.time.DateUtils_ESTest[test64],org.apache.commons.lang.time.DateUtils_ESTest[test08],org.apache.commons.lang.time.DateUtils_ESTest[test67],org.apache.commons.lang.time.DateUtils_ESTest[test26],org.apache.commons.lang.time.DateUtils_ESTest[test29],org.apache.commons.lang.time.DateUtils_ESTest[test65],org.apache.commons.lang.time.DateUtils_ESTest[test63],org.apache.commons.lang.time.DateUtils_ESTest[test62],org.apache.commons.lang.time.DateFormatUtilsTest[testSMTP],org.apache.commons.lang.time.DateUtilsTest[testConstructor],org.apache.commons.lang.time.DateFormatUtilsTest[testFormatUTC],org.apache.commons.lang.time.DateUtils_ESTest[test60],Total,Equiv?
1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
10, ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , ,1,
100, , , , , , , , ,EXC, , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
101, , , , , , , , ,EXC, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,PASS,EXC, , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
102, , , , , , , , ,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,EXC,PASS, , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,
103, , , , , , , , ,EXC, , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , ,EXC,PASS, , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,
104, , , , , , , , ,EXC, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,EXC,EXC, , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
105, , , , , , , , ,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,EXC,PASS, , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,
106, , , , , , , , ,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
107, , , , , , , , ,EXC, , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
108, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
109, , , , , , , , ,FAIL, , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
11, ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , ,2,
110, , , , , , , , ,FAIL, , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
111, , , , , , , , ,FAIL, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
112, , , , , , , , ,FAIL, , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
113, , , , , , , , ,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
114, , , , , , , , ,FAIL, , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
115, , , , , , , , ,FAIL, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
116, , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , ,EXC, , ,EXC, , , , , , , , , , , , , , , , , , , , ,EXC,EXC, , , ,EXC, , , , , , , , , ,EXC,EXC, , , , , , , ,8,
