Mutant,org.apache.commons.lang.time.StopWatchTest[testBadStates],org.apache.commons.lang.time.StopWatchTest[testLang315],org.apache.commons.lang.time.StopWatchTest[testStopWatchSimpleGet],org.apache.commons.lang.time.StopWatchTest[testStopWatchSimple],org.apache.commons.lang.time.StopWatchTest[testStopWatchSuspend],org.apache.commons.lang.time.StopWatchTest[testStopWatchSplit],org.apache.commons.lang.time.StopWatch_ESTest[test13],org.apache.commons.lang.time.StopWatch_ESTest[test11],org.apache.commons.lang.time.StopWatch_ESTest[test10],org.apache.commons.lang.time.StopWatch_ESTest[test08],org.apache.commons.lang.time.StopWatch_ESTest[test09],org.apache.commons.lang.time.StopWatch_ESTest[test07],org.apache.commons.lang.time.StopWatch_ESTest[test05],org.apache.commons.lang.time.StopWatch_ESTest[test16],org.apache.commons.lang.time.StopWatch_ESTest[test02],org.apache.commons.lang.time.StopWatch_ESTest[test03],org.apache.commons.lang.time.StopWatch_ESTest[test14],org.apache.commons.lang.time.StopWatch_ESTest[test01],org.apache.commons.lang.time.StopWatch_ESTest[test12],org.apache.commons.lang.time.StopWatch_ESTest[test06],org.apache.commons.lang.time.StopWatch_ESTest[test15],org.apache.commons.lang.time.StopWatch_ESTest[test04],org.apache.commons.lang.time.StopWatch_ESTest[test00],Total,Equiv?
1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS, ,0,
100,PASS, , , ,EXC, , ,EXC, , , , , , , , , , ,PASS, , , , ,2,
101,FAIL, , , ,EXC, , ,EXC, , , , , , , , , , ,FAIL, , , , ,4,
102,FAIL, , , ,PASS, , ,PASS, , , , , , , , , , ,FAIL, , , , ,2,
103,FAIL, , , ,EXC, , ,EXC, , , , , , , , , , ,FAIL, , , , ,4,
104,FAIL, , , ,PASS, , ,PASS, , , , , , , , , , ,FAIL, , , , ,2,
105,PASS, , , ,EXC, , ,EXC, , , , , , , , , , ,PASS, , , , ,2,
106,PASS, , , , , , , , , , , , , , , , , ,PASS, , , , ,0,
107, , , , ,PASS, , ,PASS, , , , , , , , , , , , , , , ,0,
108, , , , ,FAIL, , ,PASS, , , , , , , , , , , , , , , ,1,
109, , , , ,FAIL, , ,PASS, , , , , , , , , , , , , , , ,1,
11,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS, ,0,
110, , , , ,FAIL, , ,PASS, , , , , , , , , , , , , , , ,1,
111, , , , ,FAIL, , ,PASS, , , , , , , , , , , , , , , ,1,
112, , , , ,PASS, , ,PASS, , , , , , , , , , , , , , , ,0,
113, , , , ,PASS, , ,PASS, , , , , , , , , , , , , , , ,0,
114, , , , ,PASS, , ,PASS, , , , , , , , , , , , , , , ,0,
115, , , , ,FAIL, , ,PASS, , , , , , , , , , , , , , , ,1,
116, ,EXC,PASS,EXC,EXC,EXC,EXC, , , , , , , ,PASS, ,PASS, , , ,PASS, , ,5,
117, ,EXC,PASS,EXC,EXC,EXC,EXC, , , , , , , ,PASS, ,PASS, , , ,PASS, , ,5,
118, ,PASS,PASS,PASS,PASS,PASS,PASS, , , , , , , ,PASS, ,PASS, , , ,PASS, , ,0,
119, ,EXC,PASS,EXC,EXC,EXC,EXC, , , , , , , ,PASS, ,PASS, , , ,PASS, , ,5,
12,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS, ,0,
120, ,PASS,PASS,PASS,PASS,PASS,PASS, , , , , , , ,PASS, ,PASS, , , ,PASS, , ,0,
121, ,EXC,PASS,EXC,EXC,EXC,EXC, , , , , , , ,PASS, ,PASS, , , ,PASS, , ,5,
122, ,PASS,PASS,PASS,PASS,PASS,PASS, , , , , , , ,PASS, ,PASS, , , ,PASS, , ,0,
123, ,EXC,PASS,PASS,EXC, , , , , , , , , ,PASS, ,EXC, , , ,PASS, , ,3,
124, ,EXC,PASS,PASS,EXC, , , , , , , , , ,PASS, ,EXC, , , ,PASS, , ,3,
125, ,PASS,PASS,PASS,PASS, , , , , , , , , ,PASS, ,PASS, , , ,PASS, , ,0,
126, ,EXC,PASS,PASS,EXC, , , , , , , , , ,PASS, ,EXC, , , ,PASS, , ,3,
127, ,PASS,PASS,PASS,PASS, , , , , , , , , ,PASS, ,PASS, , , ,PASS, , ,0,
128, ,EXC,PASS,PASS,EXC, , , , , , , , , ,PASS, ,EXC, , , ,PASS, , ,3,
129, ,PASS,PASS,PASS,PASS, , , , , , , , , ,PASS, ,PASS, , , ,PASS, , ,0,
13,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC, ,15,
130, ,PASS,PASS,PASS,PASS,PASS,PASS, , , , , , , ,PASS, ,PASS, , , ,PASS, , ,0,
131, ,EXC,PASS,EXC,EXC,EXC,EXC, , , , , , , ,PASS, ,EXC, , , ,PASS, , ,6,
132, ,EXC,PASS,EXC,EXC,EXC,EXC, , , , , , , ,PASS, ,EXC, , , ,PASS, , ,6,
133, ,EXC,PASS,EXC,EXC,EXC,EXC, , , , , , , ,PASS, ,EXC, , , ,PASS, , ,6,
134, ,EXC,PASS,PASS,EXC,PASS,PASS, , , , , , , ,PASS, ,EXC, , , ,PASS, , ,3,
135, ,EXC,PASS,EXC,EXC,EXC,EXC, , , , , , , ,PASS, ,PASS, , , ,PASS, , ,5,
136, ,PASS,PASS,PASS,PASS,PASS,PASS, , , , , , , ,PASS, ,PASS, , , ,PASS, , ,0,
137, ,PASS, ,PASS,PASS,PASS,PASS, , , , , , , , , ,PASS, , , , , , ,0,
138, ,PASS, ,FAIL,FAIL,FAIL,FAIL, , , , , , , , , ,PASS, , , , , , ,4,
139, ,PASS, ,FAIL,FAIL,FAIL,FAIL, , , , , , , , , ,PASS, , , , , , ,4,
14,PASS, , , , , , , , , , , , , , ,PASS, , , , , , , ,0,
140, ,PASS, ,FAIL,FAIL,FAIL,FAIL, , , , , , , , , ,PASS, , , , , , ,4,
141, ,EXC, ,EXC,EXC,EXC,EXC, , , , , , , , , ,EXC, , , , , , ,6,
142, , ,EXC,EXC, , , , , , , , , , ,EXC, , , , , ,PASS, , ,3,
143, , ,EXC,EXC, , , , , , , , , , ,EXC, , , , , ,PASS, , ,3,
144, , ,PASS,PASS, , , , , , , , , , ,PASS, , , , , ,PASS, , ,0,
145, , ,EXC,EXC, , , , , , , , , , ,EXC, , , , , ,PASS, , ,3,
146, , ,PASS,PASS, , , , , , , , , , ,PASS, , , , , ,PASS, , ,0,
147, , ,EXC,EXC, , , , , , , , , , ,EXC, , , , , ,PASS, , ,3,
148, , ,PASS,PASS, , , , , , , , , , ,PASS, , , , , ,PASS, , ,0,
149, , ,FAIL,FAIL, , , , , , , , , , ,PASS, , , , , , , , ,2,
15,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS, ,PASS,PASS, , , ,PASS,FAIL, ,2,
150, , ,FAIL,FAIL, , , , , , , , , , ,PASS, , , , , , , , ,2,
151, , ,EXC,EXC, , , , , , , , , , ,EXC, , , , , , , , ,3,
152, , ,EXC, , , , , , , , , , , , , , , , , ,EXC, , ,2,
153, , ,EXC, , , , , , , , , , , , , , , , , ,EXC, , ,2,
154, , ,PASS, , , , , , , , , , , , , , , , , ,PASS, , ,0,
155, , ,EXC, , , , , , , , , , , , , , , , , ,EXC, , ,2,
156, , ,PASS, , , , , , , , , , , , , , , , , ,PASS, , ,0,
157, , ,EXC, , , , , , , , , , , , , , , , , ,EXC, , ,2,
158, , ,PASS, , , , , , , , , , , , , , , , , ,PASS, , ,0,
159, , ,PASS, , , , , , , , , , , , , , , , , ,PASS, , ,0,
16,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC, ,15,
160, , ,FAIL, , , , , , , , , , , , , , , , , ,PASS, , ,1,
161, , ,FAIL, , , , , , , , , , , , , , , , , ,PASS, , ,1,
162, , ,PASS, , , , , , , , , , , , , , , , , ,PASS, , ,0,
163, , ,EXC, , , , , , , , , , , , , , , , , ,EXC, , ,2,
164, , , , , , , , , , , , , , , , , , , , , , , ,0,
165,PASS, , , , ,PASS, , , , , , , ,PASS, , , ,PASS, , , , , ,0,
166,PASS, , , , ,EXC, , , , , , , ,EXC, , , ,PASS, , , , , ,2,
167,FAIL, , , , ,EXC, , , , , , , ,EXC, , , ,FAIL, , , , , ,4,
168,FAIL, , , , ,PASS, , , , , , , ,PASS, , , ,FAIL, , , , , ,2,
169,FAIL, , , , ,EXC, , , , , , , ,EXC, , , ,FAIL, , , , , ,4,
17,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC, ,15,
170,FAIL, , , , ,PASS, , , , , , , ,PASS, , , ,FAIL, , , , , ,2,
171,PASS, , , , ,EXC, , , , , , , ,EXC, , , ,PASS, , , , , ,2,
172,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , ,0,
173, , , , , ,PASS, , , , , , , ,PASS, , , , , , , , , ,0,
174, , , , , ,FAIL, , , , , , , ,FAIL, , , , , , , , , ,2,
175, , , , , ,FAIL, , , , , , , ,FAIL, , , , , , , , , ,2,
176, , , , , ,FAIL, , , , , , , ,FAIL, , , , , , , , , ,2,
177, , ,FAIL, , , , , , , , , , , ,FAIL, ,FAIL, , , ,FAIL, , ,4,
178, , , , , ,EXC, , , , , , , , , , , ,FAIL, , , , , ,2,
18,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS, ,0,
19,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC, ,15,
2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
20,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS, ,PASS,PASS, , , ,PASS,FAIL, ,2,
21,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC, ,15,
22,PASS, , , , , , , , , , , , , , , , , , , , ,PASS, ,0,
23,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS, ,0,
24,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS, ,0,
25,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS, ,0,
26,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , ,PASS,PASS,FAIL, ,PASS,PASS, , , ,PASS,PASS, ,6,
27,FAIL,EXC,PASS,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC, ,EXC,EXC, , , ,PASS,FAIL, ,13,
28,PASS,PASS, ,PASS,PASS,PASS,PASS, , , , , ,PASS, , ,PASS, , , ,PASS, , , ,0,
29,EXC,PASS, ,EXC,EXC,EXC,EXC, , , , , ,PASS, , ,EXC, , , ,PASS, , , ,6,
3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
30,FAIL,PASS, ,EXC,EXC,EXC,EXC, , , , , ,PASS, , ,EXC, , , ,FAIL, , , ,7,
31,FAIL,PASS, ,PASS,PASS,PASS,PASS, , , , , ,PASS, , ,PASS, , , ,FAIL, , , ,2,
32,FAIL,PASS, ,EXC,EXC,EXC,EXC, , , , , ,PASS, , ,EXC, , , ,FAIL, , , ,7,
33,FAIL,PASS, ,PASS,PASS,PASS,PASS, , , , , ,PASS, , ,PASS, , , ,FAIL, , , ,2,
34,EXC,PASS, ,EXC,EXC,EXC,EXC, , , , , ,PASS, , ,EXC, , , ,PASS, , , ,6,
35,PASS,PASS, , , , , , , , , , ,PASS, , , , , , ,PASS, , , ,0,
36,PASS,EXC, , , , , , , , , , ,EXC, , , , , , ,PASS, , , ,2,
37,FAIL,EXC, , , , , , , , , , ,EXC, , , , , , ,FAIL, , , ,4,
38,FAIL,PASS, , , , , , , , , , ,PASS, , , , , , ,FAIL, , , ,2,
39,FAIL,EXC, , , , , , , , , , ,EXC, , , , , , ,FAIL, , , ,4,
4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
40,FAIL,PASS, , , , , , , , , , ,PASS, , , , , , ,FAIL, , , ,2,
41,PASS,EXC, , , , , , , , , , ,EXC, , , , , , ,PASS, , , ,2,
42,FAIL,EXC, ,EXC,EXC,EXC,EXC, , , , , ,EXC, , ,EXC, , , ,FAIL, , , ,9,
43,PASS,PASS, ,PASS,PASS,PASS,PASS, , , , , ,PASS, , ,PASS, , , ,PASS, , , ,0,
44,FAIL,PASS, ,PASS,PASS,PASS,PASS, , , , , ,PASS, , ,PASS, , , ,FAIL, , , ,2,
45,PASS,EXC, ,PASS,PASS,PASS,PASS, , , , , ,EXC, , ,PASS, , , ,PASS, , , ,2,
46,EXC,PASS, ,EXC,EXC,EXC,EXC, , , , , ,PASS, , ,EXC, , , ,PASS, , , ,6,
47,EXC,EXC, ,EXC,EXC,EXC,EXC, , , , , ,EXC, , ,EXC, , , ,PASS, , , ,8,
48,EXC,EXC, ,EXC,EXC,EXC,EXC, , , , , ,EXC, , ,EXC, , , ,PASS, , , ,8,
49,PASS, , , , , , , , , , , , , , , , , , ,PASS, , , ,0,
5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
