Mutant,org.apache.commons.lang.EntitiesAddTest[testKillLang62_314],org.apache.commons.lang.EntitiesAddTest[testKillLang62_101],org.apache.commons.lang.EntitiesPerformanceTest[testEscapeBinary],org.apache.commons.lang.EntitiesPerformanceTest[testEscapeLookup],org.apache.commons.lang.EntitiesPerformanceTest[testUnescapeHash],org.apache.commons.lang.EntitiesPerformanceTest[testUnescapeTree],org.apache.commons.lang.EntitiesPerformanceTest[testUnescapeArray],org.apache.commons.lang.EntitiesPerformanceTest[testUnescapeBinary],org.apache.commons.lang.EntitiesPerformanceTest[testEscapeHash],org.apache.commons.lang.EntitiesPerformanceTest[testEscapeTree],org.apache.commons.lang.EntitiesPerformanceTest[testEscapeArray],org.apache.commons.lang.EntitiesPerformanceTest[testLookupBinary],org.apache.commons.lang.EntitiesPerformanceTest[testLookupHash],org.apache.commons.lang.EntitiesPerformanceTest[testLookupTree],org.apache.commons.lang.EntitiesPerformanceTest[testLookupArray],org.apache.commons.lang.EntitiesTest[testNumberOverflow],org.apache.commons.lang.EntitiesTest[testPrimitiveIntMap],org.apache.commons.lang.EntitiesTest[testHashIntMap],org.apache.commons.lang.EntitiesTest[testUnescapeNamedEntity],org.apache.commons.lang.EntitiesTest[testHtml40Nbsp],org.apache.commons.lang.EntitiesTest[testAddEntitiesArray],org.apache.commons.lang.EntitiesTest[testUnescapeUnknownEntity],org.apache.commons.lang.EntitiesTest[testEntitiesXmlObject],org.apache.commons.lang.EntitiesTest[testUnescapeMiscellaneous],org.apache.commons.lang.StringEscapeUtilsTest[testStandaloneAmphersand],org.apache.commons.lang.StringEscapeUtilsTest[testEscapeHtml],org.apache.commons.lang.StringEscapeUtilsTest[testEscapeHtmlVersions],org.apache.commons.lang.StringEscapeUtilsTest[testUnescapeUnknownEntity],org.apache.commons.lang.StringEscapeUtilsTest[testEscapeXml],org.apache.commons.lang.EntitiesTest[testTreeIntMap],org.apache.commons.lang.EntitiesTest[testArrayIntMap],org.apache.commons.lang.EntitiesTest[testBinaryIntMap],org.apache.commons.lang.EntitiesTest[testEscapeNamedEntity],org.apache.commons.lang.EntitiesPerformanceTest[testEscapePrimitive],org.apache.commons.lang.StringEscapeUtilsTest[testUnescapeHtml],org.apache.commons.lang.EntitiesPerformanceTest[testBuildArray],org.apache.commons.lang.StringEscapeUtilsTest[testUnescapeHexCharsHtml],org.apache.commons.lang.EntitiesPerformanceTest[testBuildHash],org.apache.commons.lang.EntitiesPerformanceTest[testLookupLookup],org.apache.commons.lang.EntitiesPerformanceTest[testBuildLookup],org.apache.commons.lang.EntitiesPerformanceTest[testBuildPrimitive],org.apache.commons.lang.EntitiesPerformanceTest[testLookupPrimitive],org.apache.commons.lang.EntitiesPerformanceTest[testBuildBinary],org.apache.commons.lang.EntitiesPerformanceTest[testBuildTree],org.apache.commons.lang.Entities_ESTest[test04],org.apache.commons.lang.Entities_ESTest[test05],org.apache.commons.lang.Entities_ESTest[test24],org.apache.commons.lang.Entities_ESTest[test06],org.apache.commons.lang.Entities_ESTest[test13],org.apache.commons.lang.Entities_ESTest[test21],org.apache.commons.lang.Entities_ESTest[test27],org.apache.commons.lang.Entities_ESTest[test02],org.apache.commons.lang.Entities_ESTest[test03],org.apache.commons.lang.Entities_ESTest[test09],org.apache.commons.lang.Entities_ESTest[test28],org.apache.commons.lang.Entities_ESTest[test07],org.apache.commons.lang.Entities_ESTest[test29],org.apache.commons.lang.Entities_ESTest[test11],org.apache.commons.lang.Entities_ESTest[test12],org.apache.commons.lang.Entities_ESTest[test10],org.apache.commons.lang.Entities_ESTest[test15],org.apache.commons.lang.Entities_ESTest[test14],org.apache.commons.lang.Entities_ESTest[test19],org.apache.commons.lang.Entities_ESTest[test18],org.apache.commons.lang.Entities_ESTest[test23],org.apache.commons.lang.Entities_ESTest[test20],org.apache.commons.lang.Entities_ESTest[test26],org.apache.commons.lang.Entities_ESTest[test25],org.apache.commons.lang.Entities_ESTest[test08],org.apache.commons.lang.Entities_ESTest[test16],org.apache.commons.lang.Entities_ESTest[test17],org.apache.commons.lang.Entities_ESTest[test22],org.apache.commons.lang.Entities_ESTest[test01],org.apache.commons.lang.Entities_ESTest[test00],Total,Equiv?
1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2,
10,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,EXC,PASS,PASS,EXC,EXC,EXC,EXC,PASS,EXC,PASS,EXC,PASS,PASS,PASS,PASS,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,63,
100,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,EXC,PASS,PASS,EXC,EXC,EXC,EXC,PASS,EXC,PASS,EXC,PASS,PASS,PASS,PASS,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,63,
1000, , , , , , , , , , , , , , , ,PASS, , , , , , , ,PASS, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, ,PASS,1,
1001, , , , , , , , , , , , , , , ,PASS, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,1,
1002, , , , , , , , , , , , , , , ,EXC, , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , ,3,
1003, , , , , , , , , , , , , , , ,PASS, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,1,
1004, , , , , , , , , , , , , , , ,PASS, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,1,
1005, , , , , , , , , , , , , , , ,PASS, , , , , , , ,PASS, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,1,
1006, , , , , , , , , , , , , , , ,EXC, , , , , , , ,EXC, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC,4,
1007, , , , , , , , , , , , , , , ,PASS, , , , , , , ,FAIL, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
1008, , , , , , , , , , , , , , , ,PASS, , , , , , , ,FAIL, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
1009, , , , , , , , , , , , , , , ,PASS, , , , , , , ,FAIL, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
101,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
1010, , , , , , , , , , , , , , , ,FAIL, , , , , , , ,FAIL, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
1011, , , , , , , , , , , , , , , ,FAIL, , , , , , , ,FAIL, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
1012, , , , , , , , , , , , , , , ,FAIL, , , , , , , ,PASS, , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,
1013, , , , , , , , , , , , , , , ,PASS, , , , , , , ,PASS, , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
1014, , , , , , , , , , , , , , , ,FAIL, , , , , , , ,PASS, , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,
1015, , , , , , , , , , , , , , , ,PASS, , , , , , , ,FAIL, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
1016, , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,
1017, , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,
1018, , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,
1019, , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,FAIL,3,
102,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,EXC,PASS,PASS,EXC,EXC,EXC,EXC,PASS,EXC,PASS,EXC,PASS,PASS,PASS,PASS,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,63,
1020, , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,FAIL,3,
1021, , , , , , , , , , , , , , , , , , ,FAIL, , ,FAIL, , ,FAIL, , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , ,FAIL, ,6,
1022, , , , , , , , , , , , , , , ,FAIL, , ,PASS, , ,FAIL, ,FAIL,PASS, , , ,PASS, , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,FAIL,PASS, , , , , ,FAIL,FAIL,FAIL,8,
1023, , , , , , , , , , , , , , , ,FAIL, , ,PASS, , ,FAIL, ,FAIL,PASS, , , ,PASS, , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,FAIL,PASS, , , , , ,FAIL,FAIL,FAIL,8,
1024, , , , , , , , , , , , , , , ,FAIL, , ,FAIL, , ,FAIL, ,FAIL,FAIL, , , ,FAIL, , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,FAIL,FAIL, , , , , ,FAIL,FAIL,FAIL,12,
1025, , , , , , , , , , , , , , , ,FAIL, , ,PASS, , ,FAIL, ,FAIL,PASS, , , ,PASS, , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,FAIL,PASS, , , , , ,FAIL,FAIL,FAIL,8,
1026, , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,PASS, ,PASS,PASS, , , ,PASS, , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , ,PASS,PASS, , , , , ,PASS,PASS,PASS,0,
1027, , , , , , , , , , , , , , , ,FAIL, , ,FAIL, , ,FAIL, ,FAIL,FAIL, , , ,FAIL, , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,FAIL,FAIL, , , , , ,FAIL,FAIL,FAIL,12,
1028, , , , , , , , , , , , , , , ,PASS, , ,FAIL, , ,PASS, ,FAIL,FAIL, , , ,FAIL, , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , ,PASS,FAIL, , , , , ,PASS,PASS,PASS,5,
1029, , , , , , , , , , , , , , , ,FAIL, , ,PASS, , ,FAIL, ,FAIL,PASS, , , ,PASS, , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,FAIL,PASS, , , , , ,FAIL,FAIL,FAIL,8,
103,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
1030, , , , , , , , , , , , , , , ,PASS, , ,FAIL, , ,PASS, ,FAIL,FAIL, , , ,FAIL, , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , ,PASS,FAIL, , , , , ,PASS,PASS,PASS,5,
1031, , , , , , , , , , , , , , , ,FAIL, , , , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,FAIL, , , , , , ,FAIL,FAIL,FAIL,8,
1032, , , , , , , , , , , , , , , ,FAIL, , , , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , ,FAIL, , , , , , ,FAIL,FAIL,FAIL,7,
1033, , , , , , , , , , , , , , , ,FAIL, , , , , ,FAIL, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,FAIL, , , , , , ,FAIL,FAIL,FAIL,8,
1034, , , , , , , , , , , , , , , , , , ,FAIL, , , , ,FAIL,FAIL, , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,5,
1035, , , , , , , , , , , , , , , ,FAIL, , ,FAIL, , ,FAIL, ,FAIL,FAIL, , , ,FAIL, , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,FAIL,FAIL, , , , , ,FAIL,FAIL,FAIL,12,
1036, , , , , , , , , , , , , , , ,FAIL, , ,FAIL, , , , ,FAIL,FAIL, , , ,FAIL, , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , ,FAIL, ,FAIL,FAIL, , , , , ,FAIL,FAIL,FAIL,12,
1037, , , , , , , , , , , , , , , ,FAIL, , ,FAIL, , ,FAIL, ,FAIL,FAIL, , , ,FAIL, , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , ,FAIL, ,FAIL,FAIL, , , , , ,FAIL,FAIL,FAIL,13,
1038, , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS,PASS, ,PASS,PASS,PASS, , , , , ,PASS, ,PASS, , , , , , , , , ,PASS, , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
1039, , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,FAIL,FAIL, ,FAIL,PASS,FAIL, , , , , ,FAIL, ,FAIL, , , , , , , , , ,PASS, , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , ,PASS,PASS,PASS, , , , , ,6,
104,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,EXC,PASS,PASS,EXC,EXC,EXC,EXC,PASS,EXC,PASS,EXC,PASS,PASS,PASS,PASS,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,63,
1040, , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS,PASS, ,PASS,PASS,PASS, , , , , ,EXC, ,PASS, , , , , , , , , ,EXC, , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , ,PASS,PASS,PASS, , , , , ,2,
1041, , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS,FAIL, ,PASS,PASS,PASS, , , , , ,FAIL, ,PASS, , , , , , , , , ,PASS, , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , ,PASS,PASS,FAIL, , , , , ,3,
1042, , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,FAIL,FAIL, ,FAIL,PASS,FAIL, , , , , ,FAIL, ,FAIL, , , , , , , , , ,PASS, , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , ,PASS,PASS,PASS, , , , , ,6,
1043, , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,FAIL,FAIL, ,FAIL,PASS,FAIL, , , , , ,EXC, ,FAIL, , , , , , , , , ,EXC, , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , ,PASS,PASS,PASS, , , , , ,7,
1044, , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS,FAIL, ,PASS,PASS,PASS, , , , , ,EXC, ,PASS, , , , , , , , , ,EXC, , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , ,PASS,PASS,FAIL, , , , , ,4,
1045, , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,FAIL,FAIL, ,FAIL,PASS,FAIL, , , , , ,EXC, ,FAIL, , , , , , , , , ,EXC, , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , ,PASS,PASS,FAIL, , , , , ,8,
1046, , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS,PASS, ,PASS,PASS,PASS, , , , , ,EXC, ,PASS, , , , , , , , , ,EXC, , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , ,PASS,PASS,PASS, , , , , ,2,
1047, , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,FAIL,FAIL, ,FAIL,PASS,FAIL, , , , , ,FAIL, ,FAIL, , , , , , , , , ,PASS, , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , ,PASS,PASS,FAIL, , , , , ,7,
