Mutant,org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testTrivial],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testQRColumnsPermutation],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testIllConditioned],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testInconsistentEquations],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testOneSet],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testRedundantEquations],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testQRColumnsPermutation],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testTwoSets],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testMoreEstimatedParametersUnsorted],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testIllConditioned],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testInconsistentEquations],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testRedundantEquations],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testTwoSets],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testMoreEstimatedParametersSimple],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testMoreEstimatedParametersUnsorted],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testNonInversible],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testCircleFitting],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testBoundParameters],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testMoreEstimatedParametersSimple],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testOneSet],org.apache.commons.math.estimation.MinpackTest[testMinpackRosenbrok],org.apache.commons.math.estimation.MinpackTest[testMinpackBox3Dimensional],org.apache.commons.math.estimation.MinpackTest[testMinpackHelicalValley],org.apache.commons.math.estimation.MinpackTest[testMinpackFreudensteinRoth],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testTrivial],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testMath199],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testControlParameters],org.apache.commons.math.estimation.MinpackTest[testMinpackJennrichSampson],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testNonInversible],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testCircleFittingBadInit],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testMaxIterations],org.apache.commons.math.estimation.MinpackTest[testMinpackLinearFullRank],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testNoDependency],org.apache.commons.math.estimation.MinpackTest[testMinpackLinearRank1ZeroColsAndRows],org.apache.commons.math.estimation.MinpackTest[testMinpackPowellSingular],org.apache.commons.math.estimation.MinpackTest[testMinpackBard],org.apache.commons.math.estimation.MinpackTest[testMinpackLinearRank1],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testNoDependency],org.apache.commons.math.estimation.MinpackTest[testMinpackChebyquad],org.apache.commons.math.estimation.MinpackTest[testMinpackOsborne1],org.apache.commons.math.estimation.MinpackTest[testMinpackKowalikOsborne],org.apache.commons.math.estimation.MinpackTest[testMinpackMeyer],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testCircleFittingBadInit],org.apache.commons.math.estimation.MinpackTest[testMinpackWatson],org.apache.commons.math.estimation.MinpackTest[testMinpackOsborne2],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testCircleFitting],org.apache.commons.math.estimation.MinpackTest[testMinpackBrownDennis],org.apache.commons.math.estimation.MinpackTest[testMinpackBrownAlmostLinear],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test08],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test07],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test05],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test09],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test06],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test02],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test11],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test10],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test03],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test04],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test00],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test01],Total,Equiv?
1,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,EXC,EXC,EXC,EXC,FAIL,FAIL,FAIL,FAIL,EXC,PASS,FAIL,FAIL,EXC,EXC,PASS,FAIL,EXC,FAIL,FAIL,FAIL,FAIL,EXC,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,EXC,FAIL,FAIL,PASS,PASS,PASS,EXC,PASS,PASS,PASS,EXC,PASS,EXC,PASS,PASS,45,
10, , , , , ,EXC,EXC,EXC,EXC,EXC,EXC, , , , , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC, , , ,PASS, ,PASS, ,PASS, , , , ,34,
100,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , ,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , ,FAIL, , , , , , , , , ,42,
101, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , ,PASS,EXC, , , , , , , , , , ,3,
102, , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,PASS,FAIL, , , , , , , , , , ,3,
103, , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,PASS,FAIL, , , , , , , , , , ,3,
104, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,FAIL,PASS, , , , , , , , , , ,2,
105, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , ,EXC,EXC, , , , , , , , , , ,4,
106, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS,PASS, , , , , , , , , , ,0,
107, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , ,PASS,EXC, , , , , , , , , , ,3,
108, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,FAIL,EXC, , , , , , , , , , ,3,
109, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,FAIL,PASS, , , , , , , , , , ,2,
11, , , , , ,EXC,EXC,EXC,EXC,EXC,EXC, , , , , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC, , , ,PASS, ,PASS, ,PASS, , , , ,34,
110, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,FAIL,EXC, , , , , , , , , , ,3,
111, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,FAIL,PASS, , , , , , , , , , ,2,
112, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , ,PASS,EXC, , , , , , , , , , ,3,
113, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,PASS, , , , , , , , , , , ,1,
114, , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,2,
115, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,1,
116, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,1,
