Mutant,org.apache.commons.math.distribution.NormalDistributionTest[testGetStandardDeviation],org.apache.commons.math.distribution.NormalDistributionTest[testQuantiles],org.apache.commons.math.distribution.NormalDistributionTest[testGetMean],org.apache.commons.math.distribution.NormalDistributionTest[testSetMean],org.apache.commons.math.distribution.NormalDistributionTest[testInverseCumulativeProbabilityExtremes],org.apache.commons.math.distribution.NormalDistributionTest[testCumulativeProbabilities],org.apache.commons.math.distribution.NormalDistributionTest[testIllegalArguments],org.apache.commons.math.distribution.PoissonDistributionTest[testMean],org.apache.commons.math.distribution.PoissonDistributionTest[testCumulativeProbabilities],org.apache.commons.math.distribution.PoissonDistributionTest[testIllegalArguments],org.apache.commons.math.distribution.NormalDistributionTest[testConsistency],org.apache.commons.math.distribution.PoissonDistributionTest[testNormalApproximateProbability],org.apache.commons.math.distribution.PoissonDistributionTest[testLargeMeanCumulativeProbability],org.apache.commons.math.distribution.PoissonDistributionTest[testDensities],org.apache.commons.math.distribution.PoissonDistributionTest[testInverseCumulativeProbabilities],org.apache.commons.math.distribution.NormalDistributionTest[testSetStandardDeviation],org.apache.commons.math.distribution.NormalDistributionTest[testInverseCumulativeProbabilities],org.apache.commons.math.distribution.PoissonDistributionTest[testDegenerateInverseCumulativeProbability],org.apache.commons.math.distribution.NormalDistributionTest[testExtremeValues],org.apache.commons.math.distribution.PoissonDistributionTest[testLargeMeanInverseCumulativeProbability],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test5],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test6],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test7],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test3],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test4],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test2],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test1],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test0],Total,Equiv?
1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
10, , , , , , , ,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, , ,EXC, ,EXC,EXC,EXC, ,EXC,EXC,EXC, ,EXC,15,
100, , , , ,FAIL, ,FAIL, , , , , , , , , ,PASS, , , , , , , ,PASS,FAIL, , ,3,
101, , , , ,FAIL, ,FAIL, , , , , , , , , ,FAIL, , , , , , , ,FAIL,FAIL, , ,5,
102, , , , ,FAIL, ,FAIL, , , , , , , , , ,FAIL, , , , , , , ,FAIL,FAIL, , ,5,
103, , , , ,PASS, ,FAIL, , , , , , , , , ,FAIL, , , , , , , ,FAIL,PASS, , ,3,
104, , , , ,FAIL, ,FAIL, , , , , , , , , ,PASS, , , , , , , ,PASS,FAIL, , ,3,
105, , , , ,PASS, ,FAIL, , , , , , , , , ,PASS, , , , , , , ,PASS,PASS, , ,1,
106, , , , ,FAIL, ,PASS, , , , , , , , , ,PASS, , , , , , , ,PASS,FAIL, , ,2,
107, , , , ,PASS, ,FAIL, , , , , , , , , ,FAIL, , , , , , , ,FAIL,PASS, , ,3,
108, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , ,FAIL, , ,2,
109, , , , , , ,FAIL, , , , , , , , , ,FAIL, , , , , , , ,FAIL, , , ,3,
11, ,FAIL,FAIL,FAIL, , , , , , , , , , , ,FAIL,TIME, , , ,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, ,7,
110, , , , , , , , , , , , , , , , ,EXC, , , ,FAIL, , , ,PASS, , , ,2,
111, , , , , , , , , , , , , , , , ,EXC, , , ,FAIL, , , ,PASS, , , ,2,
112, , , , , , , , , , , , , , , , ,PASS, , , ,PASS, , , ,PASS, , , ,0,
113, , , , , , , , , , , , , , , , ,PASS, , , ,PASS, , , ,PASS, , , ,0,
114, , , , , , , , , , , , , , , , ,EXC, , , ,FAIL, , , ,PASS, , , ,2,
115, , , , , , , , , , , , , , , , ,EXC, , , ,FAIL, , , ,PASS, , , ,2,
116, , , , , , , , , , , , , , , , ,EXC, , , ,FAIL, , , ,PASS, , , ,2,
117, , , , , , , , , , , , , , , , ,EXC, , , ,FAIL, , , ,PASS, , , ,2,
118, , , , , , , , , , , , , , , , ,PASS, , , ,PASS, , , ,PASS, , , ,0,
119, , , , , , , , , , , , , , , , ,EXC, , , ,FAIL, , , , , , , ,2,
12,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,6,
120, , , , , , , , , , , , , , , , ,PASS, , , , , , , ,PASS, , , ,0,
121, , , , , , , , , , , , , , , , ,EXC, , , ,FAIL, , , ,PASS, , , ,2,
122, , , , , , , , , , , , , , , , ,PASS, , , , ,PASS, , ,PASS, , , ,0,
123, , , , , , , , , , , , , , , , ,PASS, , , , ,PASS, , ,PASS, , , ,0,
124, , , , , , , , , , , , , , , , ,EXC, , , , ,PASS, , ,EXC, , , ,2,
125, , , , , , , , , , , , , , , , ,PASS, , , , ,PASS, , ,PASS, , , ,0,
126, , , , , , , , , , , , , , , , ,PASS, , , , ,FAIL, , ,PASS, , , ,1,
127, , , , , , , , , , , , , , , , ,EXC, , , , ,FAIL, , ,EXC, , , ,3,
128, , , , , , , , , , , , , , , , ,EXC, , , , ,FAIL, , ,EXC, , , ,3,
129, , , , , , , , , , , , , , , , ,PASS, , , , ,FAIL, , ,PASS, , , ,1,
13,FAIL,FAIL, ,FAIL, , , , , , , , , , , ,FAIL,PASS, , , , , , ,FAIL,FAIL,FAIL,FAIL, ,8,
130, , , , , , , , , , , , , , , , ,EXC, , , , ,PASS, , ,EXC, , , ,2,
131, , , , , , , , , , , , , , , , ,EXC, , , , ,PASS, , , , , , ,1,
132, , , , , , , , , , , , , , , , ,EXC, , , , , , , ,EXC, , , ,2,
133, , , , , , , , , , , , , , , , ,EXC, , , , ,PASS, , ,EXC, , , ,2,
134, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, ,PASS, ,0,
135, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, ,PASS, ,0,
136, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, ,EXC, ,PASS, ,2,
137, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, ,PASS, ,0,
138, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, ,PASS, ,0,
139, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, ,EXC, ,PASS, ,2,
14,PASS,EXC,PASS,PASS,PASS,PASS,PASS,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,20,
140, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, ,EXC, ,PASS, ,2,
141, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, ,PASS, ,0,
142, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, ,EXC, ,PASS, ,2,
143, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,PASS, ,0,
144, , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,PASS, ,1,
145, , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,PASS, ,1,
146, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,PASS, ,0,
147, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, , , ,0,
148, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, , , ,0,
149, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, , , ,0,
15,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
150, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, , , ,0,
151, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, , , ,0,
152, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, , , ,0,
153, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, , , ,0,
154, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, , , ,0,
155, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, , , ,0,
156, , , , , , , , , , , , , , , , ,EXC, , , , , , , ,PASS, , , ,1,
157, , , , , , , , , , , , , , , , ,PASS, , , , , , , ,PASS, , , ,0,
158, , , , , , , , , , , , , , , , ,EXC, , , , , , , ,EXC, , , ,2,
159, , , , , , , , , , , , , , , , ,EXC, , , , , , , ,PASS, , , ,1,
16,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,28,
160, , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , ,1,
161, , , , , , , , , , , , , , , , ,EXC, , , , , ,FAIL, ,PASS, ,FAIL, ,3,
17,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
18,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,1,
19,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,28,
2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
20,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,28,
21,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,2,
22,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,28,
23, , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , ,PASS,0,
24,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,6,
25, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,TIME, ,FAIL, , , , , ,PASS, , , ,7,
26, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,TIME, ,FAIL, , , , , ,PASS, , , ,7,
27, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,PASS, , , ,FAIL,TIME, ,FAIL, , , , , ,PASS, , , ,6,
