Mutant,org.apache.commons.math.stat.regression.SimpleRegressionTest[testCorr],org.apache.commons.math.stat.regression.SimpleRegressionTest[testNaNs],org.apache.commons.math.stat.regression.SimpleRegressionTest[testSSENonNegative],org.apache.commons.math.stat.regression.SimpleRegressionTest[testNorris],org.apache.commons.math.stat.regression.SimpleRegressionTest[testRandom],org.apache.commons.math.stat.regression.SimpleRegressionTest[testPerfectNegative],org.apache.commons.math.stat.regression.SimpleRegressionTest[testInference],org.apache.commons.math.stat.regression.SimpleRegressionTest[testPerfect],org.apache.commons.math.stat.regression.SimpleRegressionTest[testClear],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test09],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test04],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test01],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test11],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test10],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test08],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test07],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test06],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test02],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test12],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test00],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test03],org.apache.commons.math.stat.regression.SimpleRegression_ESTest[test05],Total,Equiv?
1,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
10,FAIL,FAIL,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,11,
100,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,6,
101,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,5,
102,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,5,
103,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,4,
104,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,4,
105,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , ,PASS,FAIL, , , , , , , ,10,
106,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , ,PASS,FAIL, , , , , , , ,10,
107,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS, , , ,PASS,PASS, , , , , , , ,4,
