Mutant,org.apache.commons.math3.distribution.HypergeometricDistributionTest[testDegenerateFullSample],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testDensities],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testIllegalArguments],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testDegenerateNoFailures],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testAccessors],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testDegenerateNoSuccesses],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testMoments],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testInverseCumulativeProbabilities],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testCumulativeProbabilities],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testConsistencyAtSupportBounds],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testMath644],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testPreconditions],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testMoreLargeValues],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testMath1021],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testSampling],org.apache.commons.math3.distribution.HypergeometricDistributionTest[testLargeValues],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test03],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test01],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test12],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test00],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test10],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test05],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test13],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test02],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test07],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test11],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test08],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test09],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test04],org.apache.commons.math3.distribution.HypergeometricDistribution_ESTest[test06],Total,Equiv?
1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2,
100,EXC,EXC, ,EXC, ,EXC, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, , , ,EXC,PASS, , , , ,PASS,PASS, , , ,5,
101,FAIL,FAIL, ,FAIL, ,FAIL, ,FAIL,FAIL,PASS,FAIL, ,FAIL,PASS,FAIL,FAIL, , , ,PASS,PASS, , , , ,PASS,PASS, , , ,10,
102,PASS,FAIL, ,PASS, ,PASS, ,FAIL,FAIL,PASS,PASS, ,FAIL,PASS,FAIL,FAIL, , , , ,PASS, , , , ,PASS,PASS, , , ,6,
103,EXC,EXC, ,EXC, ,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, , , , ,EXC, , , , ,EXC,EXC, , , ,15,
104,PASS,FAIL, ,PASS, ,PASS, ,FAIL,FAIL,PASS,FAIL, ,FAIL,PASS,FAIL,FAIL, , , , ,PASS, , , , ,PASS,PASS, , , ,7,
105,EXC,FAIL, ,EXC, ,EXC, ,FAIL,FAIL,PASS,FAIL, ,FAIL,PASS,FAIL,FAIL, , , , ,EXC, , , , ,PASS,PASS, , , ,11,
106,FAIL,FAIL, ,FAIL, ,FAIL, ,FAIL,FAIL,PASS,FAIL, ,FAIL,PASS,FAIL,FAIL, , , , ,EXC, , , , ,PASS,PASS, , , ,11,
107,FAIL,FAIL, ,FAIL, ,FAIL, ,PASS,PASS,PASS,PASS, ,FAIL,PASS,PASS,FAIL, , , , ,EXC, , , , ,PASS,PASS, , , ,7,
