Mutant,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest[testDecomposition3x3],org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest[testFullRank],org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest[testMath789],org.apache.commons.math3.stat.regression.GLSMultipleLinearRegressionTest[testGLSEfficiency],org.apache.commons.math3.linear.RectangularCholeskyDecomposition_ESTest[test1],org.apache.commons.math3.linear.RectangularCholeskyDecomposition_ESTest[test4],org.apache.commons.math3.linear.RectangularCholeskyDecomposition_ESTest[test3],org.apache.commons.math3.linear.RectangularCholeskyDecomposition_ESTest[test5],org.apache.commons.math3.linear.RectangularCholeskyDecomposition_ESTest[test0],org.apache.commons.math3.linear.RectangularCholeskyDecomposition_ESTest[test2],Total,Equiv?
1,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,10,
10,EXC,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,4,
100,FAIL,FAIL,FAIL,PASS,PASS,FAIL, ,PASS,PASS,PASS,4,
101,EXC,FAIL,FAIL,EXC,PASS,PASS, ,PASS,PASS,PASS,4,
102,EXC,FAIL,FAIL,EXC,PASS,PASS, ,PASS,PASS,PASS,4,
103,EXC,FAIL,FAIL,EXC,PASS,PASS, ,PASS,PASS,PASS,4,
104,FAIL,FAIL,FAIL,PASS,PASS,FAIL, ,PASS,PASS,PASS,4,
105,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,0,
106,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,9,
107,FAIL,FAIL,FAIL,PASS,PASS,PASS, ,PASS,PASS,PASS,3,
108,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,0,
109,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,9,
11,EXC,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,4,
110,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,0,
111,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,0,
112,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,9,
113,EXC,EXC,EXC,EXC,EXC,FAIL, ,PASS,EXC,EXC,8,
114,FAIL,FAIL,FAIL,PASS,PASS,FAIL, ,PASS,PASS,PASS,4,
115,EXC,EXC,EXC,EXC,EXC,FAIL, ,PASS,EXC,EXC,8,
116,FAIL,FAIL,FAIL,PASS,PASS,FAIL, ,PASS,PASS,PASS,4,
117,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,9,
118,FAIL,EXC,EXC,PASS,PASS,FAIL, ,PASS, ,PASS,4,
119,FAIL,EXC,EXC,PASS,PASS,PASS, ,PASS, ,PASS,3,
12,EXC,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,4,
120,EXC,EXC,EXC,EXC,PASS,PASS, ,PASS, ,EXC,5,
121,EXC,EXC,EXC,EXC,PASS,PASS, ,PASS, ,EXC,5,
122,FAIL,EXC,EXC,EXC,PASS,PASS, ,PASS, ,EXC,5,
123,FAIL,EXC,EXC,PASS,PASS,PASS, ,PASS, ,PASS,3,
124,FAIL,FAIL,FAIL,PASS,PASS,FAIL, ,FAIL, ,PASS,5,
125,FAIL,EXC,EXC,PASS,PASS,FAIL, ,PASS, ,PASS,4,
126,FAIL,FAIL,FAIL,PASS,PASS,FAIL, ,PASS, ,PASS,4,
127,FAIL,EXC,EXC,EXC,PASS,FAIL, ,FAIL, ,PASS,6,
128,FAIL,FAIL,FAIL,PASS,PASS,FAIL, ,PASS, ,PASS,4,
129,EXC,EXC,EXC,EXC,EXC,PASS, ,EXC, ,PASS,6,
13,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,10,
130,EXC,FAIL,FAIL,EXC,PASS,PASS, ,FAIL, ,PASS,5,
131,EXC,FAIL,FAIL,EXC,PASS,PASS, ,PASS, ,PASS,4,
132,FAIL,FAIL,FAIL,PASS,PASS,FAIL, ,PASS, ,PASS,4,
133,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,PASS,0,
134,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC, ,EXC,8,
135,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,PASS,0,
136,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,PASS,0,
137,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC, ,EXC,8,
138,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,PASS,0,
139,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,PASS,0,
14,EXC,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,4,
140,EXC,EXC,EXC,PASS,PASS,PASS, ,PASS, ,PASS,3,
141,EXC,EXC,EXC,PASS,PASS,PASS, ,PASS, ,PASS,3,
142,FAIL,EXC,EXC,PASS,PASS,PASS, ,PASS, ,PASS,3,
143,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC, ,EXC,8,
144,FAIL,EXC,EXC,PASS,PASS,PASS, ,PASS, ,PASS,3,
145,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC, ,EXC,8,
146,EXC,FAIL,FAIL,PASS,PASS,PASS, ,PASS, ,PASS,3,
147,FAIL,EXC,EXC,PASS,PASS,PASS, ,PASS, ,PASS,3,
148,FAIL,EXC,EXC,PASS,PASS,PASS, ,PASS, ,PASS,3,
149,EXC,EXC,EXC,PASS,PASS,PASS, ,PASS, ,PASS,3,
15,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,EXC,PASS,6,
150,FAIL,EXC,EXC,EXC,PASS,PASS, ,PASS, ,PASS,4,
151,FAIL,FAIL,FAIL,PASS,PASS,PASS, ,PASS, ,PASS,3,
152,EXC,FAIL,FAIL,PASS,PASS,PASS, ,PASS, ,PASS,3,
153,EXC,EXC,EXC,PASS,PASS,PASS, ,PASS, ,PASS,3,
154,FAIL,EXC,EXC,EXC,PASS,PASS, ,PASS, ,PASS,4,
155,FAIL,FAIL,FAIL,PASS,PASS,PASS, ,PASS, ,PASS,3,
156,PASS,EXC,EXC,PASS,PASS,PASS, ,PASS, ,PASS,2,
157,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,0,
158,EXC,EXC,EXC,EXC,EXC,PASS, ,PASS,EXC,EXC,7,
159,EXC,FAIL,FAIL,PASS,PASS,FAIL, ,FAIL,EXC,FAIL,7,
16,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,10,
160,EXC,FAIL,FAIL,PASS,PASS,FAIL, ,FAIL,PASS,FAIL,6,
161,EXC,FAIL,FAIL,PASS,PASS,FAIL, ,FAIL,EXC,FAIL,7,
162,EXC,EXC,EXC,EXC,EXC,FAIL, ,EXC,EXC,EXC,9,
163,TIME,TIME,TIME,TIME,PASS,PASS, ,PASS,PASS,PASS,4,
164,TIME,TIME,TIME,TIME,PASS,PASS, ,PASS,PASS,PASS,4,
165,PASS,PASS,TIME,EXC,PASS, , ,FAIL,FAIL,FAIL,5,
166,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,8,
167,FAIL,FAIL,FAIL,PASS,PASS, , ,PASS,PASS,PASS,3,
168,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,8,
169,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS,0,
17,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC,EXC,EXC,10,
170,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,8,
171,FAIL,FAIL,FAIL,PASS,PASS, , ,PASS,PASS,PASS,3,
172,FAIL,FAIL,FAIL,PASS,PASS, , ,PASS,PASS,PASS,3,
173,FAIL,FAIL,FAIL,PASS,PASS, , ,PASS,PASS,PASS,3,
174,FAIL,FAIL,FAIL,PASS,PASS, , ,PASS,PASS,PASS,3,
175,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,8,
176,FAIL,FAIL,FAIL,PASS,PASS, , ,PASS,PASS,PASS,3,
177,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,8,
178,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS,0,
179,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,8,
18,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,4,
180,FAIL,FAIL,FAIL,PASS,PASS, , ,PASS,PASS,PASS,3,
181,FAIL,FAIL,FAIL,PASS,PASS, , ,PASS,PASS,PASS,3,
182,FAIL,FAIL,FAIL,PASS,PASS, , ,PASS,PASS,PASS,3,
183,FAIL,FAIL,FAIL,PASS,PASS, , ,PASS,PASS,PASS,3,
