Mutant,org.apache.commons.math3.distribution.FDistributionTest[testDfAccessors],org.apache.commons.math3.distribution.FDistributionTest[testInverseCumulativeProbabilityExtremes],org.apache.commons.math3.distribution.FDistributionTest[testIsSupportLowerBoundInclusive],org.apache.commons.math3.distribution.FDistributionTest[testIsSupportUpperBoundInclusive],org.apache.commons.math3.distribution.UniformRealDistributionTest[testGetUpperBound],org.apache.commons.math3.distribution.UniformRealDistributionTest[testMeanVariance],org.apache.commons.math3.distribution.UniformRealDistributionTest[testConsistency],org.apache.commons.math3.distribution.UniformRealDistributionTest[testIsSupportUpperBoundInclusive],org.apache.commons.math3.distribution.FDistributionTest[testCumulativeProbabilityExtremes],org.apache.commons.math3.distribution.FDistributionTest[testMoments],org.apache.commons.math3.distribution.FDistributionTest[testDensities],org.apache.commons.math3.distribution.FDistributionTest[testIllegalArguments],org.apache.commons.math3.distribution.FDistributionTest[testConsistency],org.apache.commons.math3.distribution.UniformRealDistributionTest[testPreconditions2],org.apache.commons.math3.distribution.UniformRealDistributionTest[testIsSupportLowerBoundInclusive],org.apache.commons.math3.distribution.UniformRealDistributionTest[testIllegalArguments],org.apache.commons.math3.stat.descriptive.AggregateSummaryStatisticsTest[testAggregate],org.apache.commons.math3.stat.inference.OneWayAnovaTest[testAnovaPValue],org.apache.commons.math3.distribution.UniformRealDistributionTest[testDensities],org.apache.commons.math3.distribution.UniformRealDistributionTest[testCumulativeProbabilities],org.apache.commons.math3.distribution.FDistributionTest[testCumulativeProbabilities],org.apache.commons.math3.stat.inference.TestUtilsTest[testOneWayAnovaUtils],org.apache.commons.math3.distribution.FDistributionTest[testMath785],org.apache.commons.math3.distribution.FDistributionTest[testInverseCumulativeProbabilities],org.apache.commons.math3.distribution.UniformRealDistributionTest[testGetLowerBound],org.apache.commons.math3.distribution.FDistributionTest[testPreconditions],org.apache.commons.math3.distribution.UniformRealDistributionTest[testPreconditions1],org.apache.commons.math3.stat.descriptive.AggregateSummaryStatisticsTest[testAggregationConsistency],org.apache.commons.math3.util.MathUtilsTest[testPermutedArrayHash],org.apache.commons.math3.distribution.UniformRealDistributionTest[testInverseCumulativeProbabilities],org.apache.commons.math3.distribution.FDistributionTest[testLargeDegreesOfFreedom],org.apache.commons.math3.distribution.UniformRealDistributionTest[testSampling],org.apache.commons.math3.stat.inference.OneWayAnovaTest[testAnovaTest],org.apache.commons.math3.optimization.fitting.PolynomialFitterTest[testFit],org.apache.commons.math3.distribution.FDistributionTest[testSmallDegreesOfFreedom],org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest[testCircleFitting2],org.apache.commons.math3.distribution.FDistributionTest[testSampling],org.apache.commons.math3.distribution.UniformRealDistributionTest[testDensityIntegrals],org.apache.commons.math3.distribution.FDistributionTest[testDensityIntegrals],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test7],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test4],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test2],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test8],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test6],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test5],org.apache.commons.math3.distribution.FDistribution_ESTest[test3],org.apache.commons.math3.distribution.FDistribution_ESTest[test2],org.apache.commons.math3.distribution.FDistribution_ESTest[test1],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test3],org.apache.commons.math3.distribution.FDistribution_ESTest[test5],org.apache.commons.math3.distribution.FDistribution_ESTest[test0],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test0],org.apache.commons.math3.distribution.FDistribution_ESTest[test6],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test1],org.apache.commons.math3.distribution.FDistribution_ESTest[test4],Total,Equiv?
1,PASS,PASS,PASS,PASS, , , , ,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, , ,PASS,PASS,PASS,PASS, ,PASS, , , , ,PASS, ,PASS, ,PASS, ,PASS, ,PASS, , , , , , ,PASS,PASS,PASS, ,PASS,PASS, ,PASS, ,PASS,0,
10,PASS,PASS,PASS,PASS, , , , ,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, , ,PASS,PASS,PASS,PASS, ,FAIL, , , , ,PASS, ,PASS, ,PASS, ,PASS, ,PASS, , , , , , ,PASS,PASS,PASS, ,PASS,PASS, ,PASS, ,PASS,1,
100, , , , , , , , ,FAIL, , , , , , , , , , , , , ,PASS,EXC, , , , , , ,FAIL, , , ,FAIL, ,EXC, , , , , , , , , , , , , ,FAIL, ,FAIL, , ,7,
101, , , , , , , , ,FAIL, , , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,PASS, ,PASS, , ,1,
102, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,EXC, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,EXC, , ,12,
103, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,EXC, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,EXC, , ,12,
104, , , , , , , , , , , , ,PASS, , , , ,FAIL, , ,FAIL,PASS,FAIL,FAIL, , , , , , ,FAIL, ,FAIL, ,FAIL, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,PASS, , ,10,
105, , , , , , , , , , , , ,PASS, , , , ,FAIL, , ,FAIL,PASS,PASS,FAIL, , , , , , ,FAIL, ,FAIL, ,FAIL, ,EXC, ,FAIL, , , , , , , , , , , ,FAIL, ,EXC, , ,10,
106, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,PASS,FAIL, , , , , , ,FAIL, ,FAIL, ,EXC, ,EXC, ,FAIL, , , , , , , , , , , ,FAIL, ,EXC, , ,11,
107, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,TIME, , , , , , ,EXC, ,FAIL, ,TIME, ,TIME, ,FAIL, , , , , , , , , , , ,PASS, ,PASS, , ,10,
108, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,PASS,FAIL, , , , , , ,FAIL, ,FAIL, ,PASS, ,EXC, ,FAIL, , , , , , , , , , , ,FAIL, ,FAIL, , ,10,
109, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,PASS,FAIL, , , , , , ,PASS, ,FAIL, ,PASS, ,EXC, ,FAIL, , , , , , , , , , , ,FAIL, ,EXC, , ,9,
11,EXC,EXC,EXC,EXC, , , , ,EXC,EXC,EXC,EXC,EXC, , , , ,EXC, , ,EXC,EXC,EXC,EXC, ,EXC, , , , ,EXC, ,EXC, ,EXC, ,EXC, ,EXC, , , , , , ,EXC,EXC,EXC, ,PASS,EXC, ,EXC, ,PASS,25,
110, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,PASS,FAIL, , , , , , ,PASS, ,FAIL, ,PASS, ,EXC, ,FAIL, , , , , , , , , , , ,FAIL, ,EXC, , ,9,
111, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,PASS,FAIL, , , , , , ,PASS, ,FAIL, ,PASS, ,EXC, ,FAIL, , , , , , , , , , , ,FAIL, ,EXC, , ,9,
112, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,EXC, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,EXC, , ,12,
113, , , , , , , , , , , , ,PASS, , , , ,FAIL, , ,FAIL,PASS,FAIL,FAIL, , , , , , ,FAIL, ,FAIL, ,FAIL, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,EXC, , ,11,
114, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,EXC, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,FAIL, , ,12,
115, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,PASS, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,EXC, , ,11,
116, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,PASS, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,EXC, , ,11,
117, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,EXC, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,EXC, , ,12,
118, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,EXC, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,EXC, , ,12,
119, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,EXC, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,EXC, , ,12,
12,PASS,PASS,PASS,PASS, , , , ,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, , ,PASS,PASS,PASS,PASS, ,PASS, , , , ,PASS, ,PASS, ,EXC, ,PASS, ,PASS, , , , , , ,EXC,EXC,PASS, ,PASS,PASS, ,EXC, , ,4,
120, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,EXC, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,EXC, , ,12,
121, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,EXC, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,EXC, , ,12,
122, , , , , , , , , , , , ,PASS, , , , ,FAIL, , ,FAIL,PASS,PASS,FAIL, , , , , , ,FAIL, ,PASS, ,PASS, ,PASS, ,FAIL, , , , , , , , , , , ,FAIL, ,FAIL, , ,7,
123, , , , , , , , , , , , ,PASS, , , , ,FAIL, , ,FAIL,PASS,FAIL,FAIL, , , , , , ,FAIL, ,PASS, ,PASS, ,PASS, ,FAIL, , , , , , , , , , , ,EXC, ,FAIL, , ,8,
124, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,EXC, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,FAIL, , ,12,
125, , , , , , , , , , , , ,PASS, , , , ,FAIL, , ,FAIL,PASS,PASS,FAIL, , , , , , ,FAIL, ,PASS, ,PASS, ,PASS, ,FAIL, , , , , , , , , , , ,FAIL, ,EXC, , ,7,
126, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,EXC, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,EXC, , ,12,
127, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,EXC, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,EXC, , ,12,
128, , , , , , , , , , , , ,PASS, , , , ,FAIL, , ,FAIL,PASS,FAIL,FAIL, , , , , , ,FAIL, ,FAIL, ,PASS, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,FAIL, , ,10,
129, , , , , , , , , , , , ,PASS, , , , ,FAIL, , ,FAIL,PASS,PASS,FAIL, , , , , , ,FAIL, ,PASS, ,PASS, ,PASS, ,FAIL, , , , , , , , , , , ,FAIL, ,FAIL, , ,7,
13,PASS,PASS,PASS,PASS, , , , ,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, , ,PASS,PASS,PASS,PASS, ,FAIL, , , , ,PASS, ,PASS, ,PASS, ,PASS, ,PASS, , , , , , ,PASS,PASS,PASS, ,PASS,PASS, ,PASS, , ,1,
130, , , , , , , , , , , , ,FAIL, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,EXC, ,FAIL, ,EXC, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,FAIL, , ,12,
131, , , , , , , , , , , , ,PASS, , , , ,FAIL, , ,FAIL,PASS,FAIL,FAIL, , , , , , ,FAIL, ,FAIL, ,PASS, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,EXC, , ,10,
132, , , , , , , , ,PASS, , , ,PASS, , , , ,FAIL, , ,FAIL,PASS,FAIL,EXC, , , , , , ,FAIL, ,FAIL, ,FAIL, ,EXC, ,FAIL, , , , , , , , , , , ,EXC, ,PASS, , ,10,
