Mutant,org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testMath844],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testInitialGuess],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testNoError],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testUnsorted],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testPreconditions1],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[test1PercentError],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testTinyVariationsData],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test1],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test0],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test4],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test5],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test2],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test3],Total,Equiv?
1, ,EXC,EXC,EXC, ,EXC,PASS, ,FAIL, , , , ,5,
10,PASS, ,PASS,PASS,EXC,PASS,PASS,EXC, ,PASS,PASS,PASS,PASS,2,
100,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,3,
101,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,3,
102,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,FAIL,4,
103,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,FAIL,4,
104,FAIL, ,FAIL,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,4,
105,FAIL, ,EXC,EXC, ,EXC,EXC, , ,FAIL,FAIL,PASS,FAIL,8,
106,EXC, ,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC,9,
107,FAIL, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,1,
108,EXC, ,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC,9,
109,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
11,EXC, ,EXC,EXC,PASS,EXC,EXC,PASS, ,EXC,EXC,EXC,EXC,9,
110,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,FAIL,3,
111,FAIL, ,FAIL,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,4,
112,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,FAIL,4,
113,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
114,FAIL, ,EXC,EXC, ,EXC,EXC, , ,FAIL,FAIL,PASS,FAIL,8,
115,EXC, ,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC,9,
116,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
117,EXC, ,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC,9,
118,PASS, ,EXC,EXC, ,EXC,EXC, , ,EXC,PASS,EXC,EXC,7,
119,PASS, ,EXC,EXC, ,EXC,EXC, , ,EXC,PASS,EXC,EXC,7,
12, , , , ,PASS, , ,PASS, , , , , ,0,
120,PASS, ,EXC,EXC, ,EXC,EXC, , ,EXC,PASS,EXC,EXC,7,
121,PASS, ,EXC,EXC, ,EXC,EXC, , ,EXC,PASS,EXC,EXC,7,
122,EXC, ,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC,9,
123,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,EXC,FAIL,5,
124,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,3,
125,FAIL, ,EXC,EXC, ,EXC,EXC, , ,FAIL,FAIL,PASS,FAIL,8,
126,PASS, ,EXC,EXC, ,EXC,EXC, , ,EXC,PASS,PASS,EXC,6,
127,FAIL, ,EXC,EXC, ,EXC,EXC, , ,FAIL,PASS,PASS,PASS,6,
128,FAIL, ,EXC,EXC, ,EXC,EXC, , ,FAIL,PASS,EXC,FAIL,8,
129,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,EXC,FAIL,5,
13, , , , ,PASS, , ,PASS, , , , , ,0,
130,FAIL, ,EXC,EXC, ,EXC,EXC, , ,PASS,PASS,EXC,FAIL,7,
131,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
132,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,FAIL,4,
133,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,FAIL,4,
134,FAIL, ,FAIL,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,FAIL,5,
135,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,3,
136,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
137,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
138,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,3,
139,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,3,
14, , , , ,PASS, , ,PASS, , , , , ,0,
140,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
141,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
142,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,3,
143,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,3,
144,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,PASS,PASS,PASS,3,
145,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
146,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,EXC,4,
147,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,PASS,PASS,FAIL,5,
148,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,PASS,PASS,PASS,3,
149,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,PASS,PASS,FAIL,4,
15,EXC, ,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC,9,
150,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,PASS,PASS,PASS,4,
151,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,PASS,PASS,PASS,4,
152,PASS, ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL,PASS,PASS,PASS,4,
153,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
154,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,PASS,PASS,PASS,4,
155,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,FAIL,4,
156,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,FAIL,3,
157,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,PASS,PASS,PASS,3,
158,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,PASS,PASS,PASS,3,
