Mutant,org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath290LEQ],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testTrivialModel],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testInfeasibleSolution],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testSingleVariableAndConstraint],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath290GEQ],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath713NegativeVariable],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testModelWithNoArtificialVars],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMinimization],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434PivotRowSelection],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testSolutionWithNegativeDecisionVariable],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434UnfeasibleSolution],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434NegativeVariable],org.apache.commons.math3.optimization.linear.SimplexTableauTest[testTableauWithNoArtificialVars],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testEpsilon],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testSimplexSolver],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testDegeneracy],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath272],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath288],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath781],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath286],org.apache.commons.math3.optimization.linear.SimplexTableauTest[testDropPhase1Objective],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testUnboundedSolution],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath293],org.apache.commons.math3.optimization.linear.SimplexTableauTest[testSerial],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434PivotRowSelection2],org.apache.commons.math3.optimization.linear.SimplexTableauTest[testInitialization],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testRestrictVariablesToNonNegative],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testLargeModel],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test01],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test08],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test11],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test12],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test14],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test19],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test05],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test04],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test23],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test06],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test13],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test17],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test00],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test22],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test16],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test18],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test20],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test10],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test25],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test21],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test07],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test15],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test24],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test03],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test09],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test02],Total,Equiv?
1,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,54,
10,PASS,PASS, , ,PASS,PASS, , , , ,PASS, , , , ,PASS,FAIL,PASS, ,FAIL, , ,EXC, , , ,PASS,FAIL, , ,PASS, ,PASS, ,FAIL, , ,PASS,PASS,PASS,PASS,PASS, , , , , , , , , ,PASS,PASS, ,5,
100,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,54,
101,EXC,EXC,PASS,EXC,EXC,EXC,EXC,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,EXC,PASS,PASS,FAIL,EXC,PASS,PASS,PASS,FAIL,PASS,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,37,
102,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,54,
103,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,54,
104,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,54,
105,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
106,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
107,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
