Mutant,org.apache.commons.math3.genetics.ElitisticListPopulationTest[testSetElitismRateTooLow],org.apache.commons.math3.genetics.ElitisticListPopulationTest[testConstructorTooLow],org.apache.commons.math3.genetics.ElitisticListPopulationTest[testSetElitismRateTooHigh],org.apache.commons.math3.genetics.ElitisticListPopulationTest[testSetElitismRate],org.apache.commons.math3.genetics.ElitisticListPopulationTest[testConstructorTooHigh],org.apache.commons.math3.genetics.ElitisticListPopulationTest[testChromosomeListConstructorTooHigh],org.apache.commons.math3.genetics.ElitisticListPopulationTest[testNextGeneration],org.apache.commons.math3.genetics.TournamentSelectionTest[testSelect],org.apache.commons.math3.genetics.ElitisticListPopulationTest[testChromosomeListConstructorTooLow],org.apache.commons.math3.genetics.FitnessCachingTest[testFitnessCaching],org.apache.commons.math3.genetics.GeneticAlgorithmTestBinary[test],org.apache.commons.math3.genetics.GeneticAlgorithmTestPermutations[test],org.apache.commons.math3.genetics.ElitisticListPopulation_ESTest[test1],org.apache.commons.math3.genetics.ElitisticListPopulation_ESTest[test2],org.apache.commons.math3.genetics.ElitisticListPopulation_ESTest[test0],Total,Equiv?
1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
10, , , , , , ,FAIL, , ,PASS,PASS,PASS, , ,PASS,1,
11, , , , , , ,FAIL, , ,PASS,PASS,PASS, , ,FAIL,2,
12, , , , , , ,FAIL, , ,PASS,PASS,PASS, , ,FAIL,2,
13, , , , , , ,FAIL, , ,PASS,PASS,PASS, , ,FAIL,2,
14, , , , , , ,FAIL, , ,PASS,PASS,PASS, , ,PASS,1,
15, , , , , , ,FAIL, , ,PASS,PASS,PASS, , ,FAIL,2,
16, , , , , , ,EXC, , ,EXC,EXC,EXC, , ,EXC,5,
17, , , , , , ,FAIL, , ,PASS,PASS,PASS, , ,PASS,1,
18, , , , , , ,FAIL, , ,PASS,FAIL,FAIL, , ,PASS,3,
19, , , , , , ,PASS, , ,PASS,PASS,PASS, , ,PASS,0,
2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
20, , , , , , ,EXC, , ,EXC,EXC,EXC, , ,EXC,5,
21, , , , , , ,FAIL, , ,PASS,PASS,PASS, , ,FAIL,2,
22, , , , , , ,FAIL, , ,PASS,PASS,PASS, , ,FAIL,2,
23, , , , , , ,FAIL, , ,PASS,PASS,PASS, , ,FAIL,2,
24, , , , , , ,FAIL, , ,PASS,PASS,PASS, , ,FAIL,2,
25, , , , , , ,EXC, , ,EXC,EXC,EXC, , ,EXC,5,
26, , , , , , ,FAIL, , ,PASS,PASS,PASS, , ,FAIL,2,
27, , , , , , ,EXC, , ,EXC,EXC,EXC, , ,EXC,5,
28,PASS,PASS,PASS,EXC,PASS,PASS,EXC,EXC,PASS,EXC,EXC,EXC,PASS,PASS,PASS,6,
29,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,3,
3, , , , , ,FAIL, , ,FAIL,PASS,PASS,PASS, , ,FAIL,3,
30,PASS,PASS,PASS,EXC,PASS,PASS,EXC,EXC,PASS,EXC,EXC,EXC,PASS,PASS,EXC,7,
31,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
32,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,4,
33,PASS,FAIL,PASS,EXC,PASS,PASS,EXC,EXC,FAIL,EXC,EXC,EXC,FAIL,PASS,EXC,10,
34,PASS,FAIL,PASS,EXC,PASS,PASS,EXC,EXC,FAIL,EXC,EXC,EXC,FAIL,PASS,EXC,10,
