Mutant,org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testConvergenceOnFunctionAccuracy],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testInsufficientOrder2],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testInsufficientOrder3],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testConstructorsOK],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testRootEndpoints],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testSinZero],org.apache.commons.math.ode.nonstiff.DormandPrince853IntegratorTest[testUnstableDerivative],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testIssue716],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testSolutionAboveSide],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testSolutionLeftSide],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testBadEndpoints],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testQuinticZero],org.apache.commons.math.ode.nonstiff.GillIntegratorTest[testUnstableDerivative],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testSolutionRightSide],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testSolutionBelowSide],org.apache.commons.math.ode.nonstiff.HighamHall54IntegratorTest[testEventsErrors],org.apache.commons.math.ode.nonstiff.HighamHall54IntegratorTest[testEventsNoConvergence],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testInsufficientOrder1],org.apache.commons.math.ode.nonstiff.DormandPrince853IntegratorTest[testEvents],org.apache.commons.math.ode.nonstiff.ClassicalRungeKuttaIntegratorTest[testMissedEndEvent],org.apache.commons.math.ode.nonstiff.DormandPrince853IntegratorTest[testMissedEndEvent],org.apache.commons.math.ode.nonstiff.GraggBulirschStoerIntegratorTest[testUnstableDerivative],org.apache.commons.math.ode.nonstiff.GraggBulirschStoerIntegratorTest[testEvents],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testFasterThanNewton],org.apache.commons.math.ode.events.EventStateTest[testIssue695],org.apache.commons.math.ode.nonstiff.DormandPrince54IntegratorTest[testEvents],org.apache.commons.math.ode.nonstiff.HighamHall54IntegratorTest[testEvents],org.apache.commons.math.ode.nonstiff.EulerIntegratorTest[testDecreasingSteps],org.apache.commons.math.ode.nonstiff.ClassicalRungeKuttaIntegratorTest[testDecreasingSteps],org.apache.commons.math.ode.nonstiff.MidpointIntegratorTest[testDecreasingSteps],org.apache.commons.math.ode.nonstiff.ThreeEighthesIntegratorTest[testDecreasingSteps],org.apache.commons.math.ode.nonstiff.GillIntegratorTest[testDecreasingSteps],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test07],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test08],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test00],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test06],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test09],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test05],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test04],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test02],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test10],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test12],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test16],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test13],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test01],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test17],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test11],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test03],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test15],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test14],Total,Equiv?
1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
10, , , ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , , ,PASS, ,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,37,
100,PASS, , , ,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS, , ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,2,
101,FAIL, , , ,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , ,FAIL, , , ,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL, ,FAIL,FAIL,29,
102, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , ,2,
103, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , ,2,
104, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , ,2,
105,EXC, , , ,PASS,EXC,PASS,EXC,EXC,EXC,PASS,EXC,PASS,EXC,EXC, ,EXC, ,EXC,PASS,PASS,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS, , ,PASS, , , ,EXC,EXC,PASS,FAIL,FAIL,EXC,PASS, ,EXC,EXC,27,
106,EXC, , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC, , ,EXC, , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,38,
107,EXC, , , ,PASS,EXC,PASS,EXC,EXC,EXC,PASS,EXC,PASS,EXC,EXC, ,EXC, ,EXC,PASS,PASS,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS, , ,PASS, , , ,EXC,EXC,PASS,FAIL,FAIL,EXC,PASS, ,EXC,EXC,27,
108,EXC, , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC, , ,EXC, , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,38,
109,EXC, , , ,PASS,EXC,FAIL,PASS,FAIL,PASS,PASS,EXC,FAIL,FAIL,PASS, ,PASS, ,EXC,FAIL,FAIL,PASS,EXC,FAIL,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS, , ,PASS, , , ,PASS,PASS,PASS,PASS,FAIL,PASS,PASS, ,EXC,PASS,21,
11, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , ,0,
110,EXC, , , ,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,EXC,FAIL,FAIL,PASS, ,EXC, ,EXC,FAIL,FAIL,PASS,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS, , ,PASS, , , ,EXC,EXC,PASS,FAIL,FAIL,PASS,PASS, ,PASS,EXC,26,
111,EXC, , , ,FAIL,EXC,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,FAIL,PASS, ,PASS, ,EXC,FAIL,FAIL,PASS,EXC,FAIL,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS, , ,FAIL, , , ,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS, ,EXC,PASS,24,
