Mutant,org.apache.commons.math.geometry.euclidean.threed.RotationTest[testIdentity],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testIssue639],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testRevert],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testQuaternion],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testVectorTwoPairs],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testVectorOnePair],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testMatrix],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testSingularities],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testCompose],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testComposeInverse],org.apache.commons.math.geometry.euclidean.threed.PlaneTest[testRotate],org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest[testIsometry],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testApplyInverseTo],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testAxisAngle],org.apache.commons.math.geometry.euclidean.threed.RotationTest[testAngles],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test44],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test01],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test45],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test43],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test09],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test06],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test08],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test25],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test22],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test23],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test42],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test24],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test20],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test54],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test58],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test18],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test48],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test02],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test21],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test52],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test55],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test19],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test40],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test04],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test05],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test46],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test03],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test47],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test60],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test26],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test13],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test53],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test28],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test29],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test51],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test59],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test11],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test17],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test56],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test07],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test50],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test27],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test15],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test16],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test49],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test31],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test57],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test32],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test61],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test41],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test34],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test38],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test35],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test62],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test36],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test33],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test39],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test14],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test63],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test30],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test37],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test00],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test12],org.apache.commons.math.geometry.euclidean.threed.Rotation_ESTest[test10],Total,Equiv?
1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
10,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,8,
100, , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, , ,EXC, , ,EXC,EXC, , , , , , , , , , , , , ,EXC,PASS, , , ,PASS,PASS,5,
1000, , ,FAIL, ,FAIL, , , , , , , , ,FAIL, , , , , , , , ,FAIL, ,PASS, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,
1001, , ,FAIL, ,PASS, , , , , , , , ,FAIL, , , , , , , , ,FAIL, ,PASS, ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
1002, , ,FAIL, ,PASS, , , , , , , , ,FAIL, , , , , , , , ,FAIL, ,PASS, ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
1003, , ,FAIL, ,FAIL, , , , , , , , ,FAIL, , , , , , , , ,FAIL, ,PASS, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,
1004, , ,FAIL, ,FAIL, , , , , , , , ,FAIL, , , , , , , , ,FAIL, ,PASS, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,
1005, , ,FAIL, ,FAIL, , , , , , , , ,FAIL, , , , , , , , ,FAIL, ,PASS, ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,
1006, , ,FAIL, ,FAIL, , , , , , , , ,FAIL, , , , , , , , ,FAIL, ,PASS, ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,
1007, , ,FAIL, ,PASS, , , , , , , , ,FAIL, , , , , , , , ,FAIL, ,PASS, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,
1008, , ,FAIL, ,FAIL, , , , , , , , ,FAIL, , , , , , , , ,FAIL, ,PASS, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,
1009, , ,FAIL, ,FAIL, , , , , , , , ,FAIL, , , , , , , , ,FAIL, ,PASS, ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,
101, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, , ,PASS, , ,PASS,PASS, , , , , , , , , , , , , ,PASS,PASS, , , ,PASS,PASS,0,
1010, , ,FAIL, ,FAIL, , , , , , , , ,FAIL, , , , , , , , ,FAIL, ,PASS, ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,
1011, , ,FAIL, ,FAIL, , , , , , , , ,FAIL, , , , , , , , ,FAIL, ,PASS, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,
1012, , ,PASS, ,FAIL, , , , , , , , ,FAIL, , , , , , , , ,PASS, ,PASS, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
1013, , ,PASS, ,PASS, , , , , , , , ,FAIL, , , , , , , , ,PASS, ,PASS, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
1014, , ,FAIL, ,FAIL, , , , , , , , ,FAIL, , , , , , , , ,FAIL, ,FAIL, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,
1015, , ,PASS, ,PASS, , , , , , , , ,FAIL, , , , , , , , ,PASS, ,PASS, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
