Mutant,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest[dimension2],org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest[testSmallDistances],org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest[testPerformClusterAnalysisDegenerate],org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest[testCertainSpace],org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer_ESTest[test0],org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer_ESTest[test1],org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer_ESTest[test4],org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer_ESTest[test2],org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer_ESTest[test3],org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer_ESTest[test6],org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer_ESTest[test5],Total,Equiv?
1,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,10,
10,PASS,PASS,PASS,TIME,PASS,PASS,PASS,PASS,PASS,PASS, ,1,
100,EXC,EXC, ,EXC, ,EXC, ,EXC,FAIL,EXC, ,7,
101,EXC,PASS, ,EXC, ,EXC, ,PASS,PASS,EXC, ,4,
102,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,9,
103, , , ,PASS, , , , , ,EXC, ,1,
104, , , ,PASS, , , , , ,PASS, ,0,
105, , , ,EXC, , , , , ,EXC, ,2,
106, , , ,EXC, , , , , ,EXC, ,2,
107, , , ,EXC, , , , , ,EXC, ,2,
108, , , ,EXC, , , , , ,EXC, ,2,
109, , , ,PASS, , , , , ,PASS, ,0,
11,PASS,PASS,PASS,TIME,PASS,PASS,PASS,PASS,PASS,PASS, ,1,
110, , , ,PASS, , , , , ,PASS, ,0,
111, , , ,EXC, , , , , ,EXC, ,2,
112, , , ,EXC, , , , , ,EXC, ,2,
113, , , ,EXC, , , , , ,EXC, ,2,
114, , , ,PASS, , , , , ,PASS, ,0,
115, , , ,EXC, , , , , ,EXC, ,2,
116, , , ,PASS, , , , , ,PASS, ,0,
117, , , ,PASS, , , , , ,PASS, ,0,
118, , , ,EXC, , , , , ,EXC, ,2,
119, , , ,EXC, , , , , ,EXC, ,2,
12,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
120, , , ,PASS, , , , , ,PASS, ,0,
121, , , ,EXC, , , , , ,EXC, ,2,
122, , , ,EXC, , , , , ,EXC, ,2,
123, , , ,EXC, , , , , ,EXC, ,2,
124, , , ,PASS, ,PASS, , , , , ,0,
125, , , ,PASS, ,PASS, , , , , ,0,
126, , , ,EXC, ,EXC, , , , , ,2,
127, , , ,EXC, ,EXC, , , , , ,2,
128, , , ,EXC, ,EXC, , , , , ,2,
129, , , ,EXC, ,EXC, , , , , ,2,
13,PASS,PASS,PASS,TIME,PASS,PASS,PASS,PASS,PASS,PASS, ,1,
130, , , ,EXC, ,EXC, , , , , ,2,
131, , , ,PASS, ,PASS, , , , , ,0,
132, , , ,EXC, ,EXC, , , , , ,2,
133, , , ,EXC, ,EXC, , , , , ,2,
134, , , ,PASS, ,PASS, , , , , ,0,
135, , , ,EXC, ,EXC, , , , , ,2,
136, , , ,EXC, ,EXC, , , , , ,2,
137, , , ,PASS, ,PASS, , , , , ,0,
138, , , ,EXC, ,EXC, , , , , ,2,
139, , , ,EXC, ,EXC, , , , , ,2,
14,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
140, , , ,EXC, ,EXC, , , , , ,2,
141, , , ,PASS, , , ,EXC, , , ,1,
142, , , ,PASS, , , ,PASS, , , ,0,
143, , , ,PASS, , , ,PASS, , , ,0,
144, , , ,EXC, , , ,EXC, , , ,2,
145, , , ,EXC, , , ,EXC, , , ,2,
146, , , ,PASS, , , ,PASS, , , ,0,
147, , , ,EXC, , , ,EXC, , , ,2,
148, , , ,PASS, , , ,PASS, , , ,0,
149, , , ,EXC, , , ,EXC, , , ,2,
15,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
150, , , ,EXC, , , ,EXC, , , ,2,
151, , , ,EXC, , , ,EXC, , , ,2,
152, , , ,EXC, , , ,EXC, , , ,2,
153, , , ,EXC, , , ,EXC, , , ,2,
154, , , ,EXC, , , ,EXC, , , ,2,
155, , , ,PASS, , , ,PASS, , , ,0,
156, , , ,PASS, , , ,PASS, , , ,0,
157, , , ,EXC, , , ,EXC, , , ,2,
158, , , ,EXC, , , ,EXC, , , ,2,
159, , , ,EXC, , , ,EXC, , , ,2,
16,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
160, , , ,PASS, , , ,PASS, , , ,0,
161, , , ,EXC, , , ,EXC, , , ,2,
162, , , ,PASS, , , ,PASS, , , ,0,
163, , , ,PASS, , , ,PASS, , , ,0,
164, , , ,EXC, , , ,EXC, , , ,2,
165, , , ,EXC, , , ,EXC, , , ,2,
166, , , ,EXC, , , ,EXC, , , ,2,
167, , , ,PASS, , , ,PASS, , , ,0,
168, , , ,EXC, , , ,EXC, , , ,2,
169, , , ,EXC, , , ,EXC, , , ,2,
17,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
170,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,9,
171,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,1,
172,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,1,
173,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
174,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,9,
175,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,9,
176,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,9,
177,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,9,
178,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,1,
179,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,1,
18,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS, ,2,
180,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,9,
181,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,9,
19,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS, ,2,
2,PASS,PASS,PASS,EXC,PASS,EXC,PASS,EXC,PASS,EXC,PASS,4,
20,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS, ,2,
21,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS, ,2,
22,PASS,PASS,PASS,TIME,PASS,PASS,PASS,PASS,PASS,PASS, ,1,
23,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
24,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,8,
25,PASS, ,PASS,EXC,PASS,EXC,PASS,EXC,FAIL,EXC, ,5,
26,FAIL, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,1,
27, , , ,EXC, , , , , ,EXC, ,2,
28, , , ,EXC, ,EXC, , , , , ,2,
29, , , ,EXC, , , ,EXC, , , ,2,
3,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,10,
30, , , ,EXC, , , ,EXC, , , ,2,
31, , , ,FAIL, ,PASS, ,PASS, ,PASS, ,1,
32, , , ,PASS, ,PASS, ,PASS, ,PASS, ,0,
33,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,8,
34,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
35,FAIL, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,1,
36,FAIL, ,PASS,PASS, , ,PASS, , , , ,1,
