Mutant,org.apache.commons.math.distribution.NormalDistributionTest[testGetStandardDeviation],org.apache.commons.math.distribution.NormalDistributionTest[testGetMean],org.apache.commons.math.distribution.NormalDistributionTest[testDensity],org.apache.commons.math.distribution.NormalDistributionTest[testDensities],org.apache.commons.math.distribution.PoissonDistributionTest[testNormalApproximateProbability],org.apache.commons.math.distribution.PoissonDistributionTest[testCumulativeProbabilities],org.apache.commons.math.distribution.PoissonDistributionTest[testIllegalArguments],org.apache.commons.math.distribution.NormalDistributionTest[testInverseCumulativeProbabilityExtremes],org.apache.commons.math.distribution.NormalDistributionTest[testCumulativeProbabilities],org.apache.commons.math.distribution.PoissonDistributionTest[testDensities],org.apache.commons.math.distribution.PoissonDistributionTest[testInverseCumulativeProbabilities],org.apache.commons.math.distribution.PoissonDistributionTest[testFloatingPointArguments],org.apache.commons.math.distribution.NormalDistributionTest[testConsistency],org.apache.commons.math.distribution.NormalDistributionTest[testQuantiles],org.apache.commons.math.distribution.NormalDistributionTest[testIllegalArguments],org.apache.commons.math.distribution.PoissonDistributionTest[testLargeMeanCumulativeProbability],org.apache.commons.math.distribution.PoissonDistributionTest[testMean],org.apache.commons.math.distribution.NormalDistributionTest[testPreconditions],org.apache.commons.math.distribution.NormalDistributionTest[testInverseCumulativeProbabilities],org.apache.commons.math.distribution.NormalDistributionTest[testSampling],org.apache.commons.math.distribution.NormalDistributionTest[testMath280],org.apache.commons.math.distribution.PoissonDistributionTest[testCumulativeProbabilitySpecial],org.apache.commons.math.distribution.PoissonDistributionTest[testSampling],org.apache.commons.math.distribution.PoissonDistributionTest[testDegenerateInverseCumulativeProbability],org.apache.commons.math.distribution.NormalDistributionTest[testExtremeValues],org.apache.commons.math.distribution.PoissonDistributionTest[testLargeMeanInverseCumulativeProbability],Total,Equiv?
1,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
100, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,EXC,FAIL, , , ,FAIL, ,7,
101, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,FAIL,FAIL, , , ,FAIL, ,7,
102, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,EXC,TIME, , , ,FAIL, ,7,
103, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,EXC,FAIL, , , ,FAIL, ,7,
104, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,FAIL,FAIL, , , ,FAIL, ,7,
105, , , , , , , , , , , , , , , , , , ,PASS,EXC,PASS, , , , , ,1,
106, , , , , , , ,FAIL, , , , , , ,PASS, , , ,PASS,PASS,PASS, , , , , ,1,
107, , , , , , , ,FAIL, , , , , , ,FAIL, , , ,PASS,PASS,PASS, , , , , ,2,
108, , , , , , , ,FAIL, , , , , , ,FAIL, , , ,FAIL,FAIL,FAIL, , , , , ,5,
109, , , , , , , ,FAIL, , , , , , ,FAIL, , , ,PASS,PASS,PASS, , , , , ,2,
11,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
110, , , , , , , ,PASS, , , , , , ,FAIL, , , ,PASS,PASS,PASS, , , , , ,1,
111, , , , , , , ,FAIL, , , , , , ,FAIL, , , ,FAIL,FAIL,FAIL, , , , , ,5,
112, , , , , , , ,FAIL, , , , , , ,FAIL, , , ,FAIL,FAIL,FAIL, , , , , ,5,
113, , , , , , , ,FAIL, , , , , , ,PASS, , , ,PASS,PASS,PASS, , , , , ,1,
114, , , , , , , ,FAIL, , , , , , ,FAIL, , , ,FAIL,FAIL,FAIL, , , , , ,5,
115, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , ,1,
116, , , , , , , ,FAIL, , , , , , ,PASS, , , ,PASS,PASS,PASS, , , , , ,1,
117, , , , , , , ,FAIL, , , , , , ,FAIL, , , ,PASS,PASS,PASS, , , , , ,2,
118, , , , , , , ,FAIL, , , , , , ,FAIL, , , ,FAIL,FAIL,FAIL, , , , , ,5,
119, , , , , , , ,FAIL, , , , , , ,FAIL, , , ,FAIL,FAIL,FAIL, , , , , ,5,
12,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,26,
120, , , , , , , ,PASS, , , , , , ,FAIL, , , ,FAIL,FAIL,FAIL, , , , , ,4,
121, , , , , , , ,FAIL, , , , , , ,FAIL, , , ,PASS,PASS,PASS, , , , , ,2,
122, , , , , , , ,PASS, , , , , , ,FAIL, , , ,PASS,PASS,PASS, , , , , ,1,
123, , , , , , , ,FAIL, , , , , , ,PASS, , , ,PASS,PASS,PASS, , , , , ,1,
124, , , , , , , ,PASS, , , , , , ,FAIL, , , ,FAIL,FAIL,FAIL, , , , , ,4,
125, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , ,1,
126, , , , , , , , , , , , , , ,FAIL, , , ,FAIL,FAIL,FAIL, , , , , ,4,
127, , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , ,1,
128, , , , , , , , , , , , , , , , , , ,EXC,EXC,PASS, , , , , ,2,
129, , , , , , , , , , , , , , , , , , ,EXC,EXC,PASS, , , , , ,2,
13,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,26,
130, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
131, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
132, , , , , , , , , , , , , , , , , , ,EXC,EXC,PASS, , , , , ,2,
133, , , , , , , , , , , , , , , , , , ,EXC,EXC,PASS, , , , , ,2,
134, , , , , , , , , , , , , , , , , , ,EXC,EXC,PASS, , , , , ,2,
135, , , , , , , , , , , , , , , , , , ,EXC,EXC,PASS, , , , , ,2,
136, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
137, , , , , , , , , , , , , , , , , , ,EXC,EXC, , , , , , ,2,
138, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
139, , , , , , , , , , , , , , , , , , ,EXC,PASS,PASS, , , , , ,1,
14,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
140, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
141, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
142, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
143, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
144, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
145, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
146, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
147, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
148, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
149, , , , , , , , , , , , , , , , , , ,EXC,EXC, , , , , , ,2,
15,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,26,
150, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
151, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
152, , , , , , , , , , , , , , , , , , ,EXC,EXC,PASS, , , , , ,2,
153, , , , , , , , , , , , , , , , , , ,EXC,EXC,PASS, , , , , ,2,
154, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
155, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
156, , , , , , , , , , , , , , , , , , ,EXC,EXC,PASS, , , , , ,2,
157, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
158, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
159, , , , , , , , , , , , , , , , , , ,EXC,EXC,PASS, , , , , ,2,
16,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,6,
160, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
161, , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , ,0,
162, , , , , , , , , , , , , , , , , , ,EXC,EXC, , , , , , ,2,
163, , , , , , , , , , , , , , , , , , ,EXC,EXC, , , , , , ,2,
164, , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , ,0,
165, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
166, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
167, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
168, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
169, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
17,FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,EXC,EXC,EXC,PASS,PASS,PASS,FAIL,PASS,10,
170, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
171, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
172, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
173, , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , ,0,
174, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
175, , , , , , , , , , , , , , , , , , ,PASS,PASS,EXC, , , , , ,1,
176, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
177, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
178, , , , , , , , , , , , , , , , , , , ,PASS, , , , , , ,0,
179, , , , , , , , , , , , , , , , , , ,EXC,EXC,EXC, , , , , ,3,
18,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,1,
19, , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
2,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
20, , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
21, , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
22, , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
23, ,FAIL, , , , , , , , , , , ,FAIL, , , , , , , , , , , , ,2,
24,FAIL, , , , , , , , , , , , ,FAIL, , , , , , , , , , , , ,2,
25, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
26, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
27, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
28, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
29, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
3,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
30, , ,PASS,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,2,
31, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
32, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
33, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
34, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
35, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
36, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
37, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
38, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
39, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
4,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
40, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
41, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
42, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
43, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
44, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
45, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
46, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
47, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
48, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
49, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
5,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
50, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
51, , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , , , , , , , , , , ,3,
52, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,TIME,FAIL,EXC, , , ,FAIL, ,7,
53, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,TIME,EXC,TIME, , , ,FAIL, ,7,
54, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,EXC,PASS, , , ,PASS, ,5,
55, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,EXC,EXC, , , ,FAIL, ,7,
56, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,FAIL,FAIL, , , ,FAIL, ,7,
57, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,EXC,TIME, , , ,FAIL, ,7,
58, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,FAIL,FAIL, , , ,FAIL, ,7,
59, , , , ,FAIL, , , ,PASS, , , ,PASS,PASS, , , , ,PASS,PASS,PASS, , , ,PASS, ,1,
6,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
60, , , , ,FAIL, , , ,PASS, , , ,PASS,PASS, , , , ,PASS,PASS,PASS, , , ,PASS, ,1,
61, , , , ,FAIL, , , ,PASS, , , ,PASS,PASS, , , , ,PASS,PASS,PASS, , , ,PASS, ,1,
62, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,EXC,TIME, , , ,FAIL, ,7,
63, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,EXC,TIME, , , ,FAIL, ,7,
64, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,EXC,TIME, , , ,FAIL, ,7,
65, , , , ,PASS, , , ,PASS, , , ,PASS,PASS, , , , ,PASS,PASS,PASS, , , ,EXC, ,1,
66, , , , ,PASS, , , ,PASS, , , ,PASS,PASS, , , , ,PASS,PASS,PASS, , , ,PASS, ,0,
67, , , , ,PASS, , , ,PASS, , , ,PASS,PASS, , , , ,PASS,PASS,PASS, , , ,EXC, ,1,
68, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,EXC,TIME, , , ,FAIL, ,7,
69, , , , , , , , , , , , , , , , , , , , , , , , ,PASS, ,0,
7,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,EXC,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,EXC,EXC,6,
70, , , , , , , , , , , , , , , , , , , , , , , , ,PASS, ,0,
71, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,1,
72, , , , , , , , , , , , , , , , , , , , , , , , ,PASS, ,0,
73, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,1,
74, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,1,
75, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,1,
76, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,1,
77, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,1,
78, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,1,
79, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,1,
8,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
80, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,1,
81, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, ,1,
82, , , , , , , , , , , , , , , , , , , , , , , , ,EXC, ,1,
83, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,TIME,TIME,FAIL, , , ,FAIL, ,7,
84, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,TIME,TIME,FAIL, , , ,FAIL, ,7,
85, , , , ,PASS, , , ,FAIL, , , ,PASS,FAIL, , , , ,TIME,TIME,FAIL, , , ,FAIL, ,6,
86, , , , ,PASS, , , ,FAIL, , , ,PASS,FAIL, , , , ,TIME,TIME,FAIL, , , ,FAIL, ,6,
87, , , , ,EXC, , , ,EXC, , , ,EXC,EXC, , , , ,EXC,EXC,EXC, , , ,FAIL, ,8,
88, , , , ,FAIL, , , ,FAIL, , , ,FAIL,FAIL, , , , ,EXC,EXC,EXC, , , ,FAIL, ,8,
89, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,FAIL,FAIL, , , ,FAIL, ,7,
9,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,26,
90, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,FAIL,FAIL, , , ,PASS, ,6,
91, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,FAIL,FAIL, , , ,FAIL, ,7,
92, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,FAIL,FAIL, , , ,FAIL, ,7,
93, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,FAIL,FAIL, , , ,FAIL, ,7,
94, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,FAIL,FAIL, , , ,FAIL, ,7,
95, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,EXC,FAIL, , , ,FAIL, ,7,
96, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,TIME,FAIL, , , ,FAIL, ,7,
97, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,EXC,EXC,EXC, , , ,FAIL, ,7,
98, , , , ,PASS, , , ,FAIL, , , ,PASS,FAIL, , , , ,TIME,TIME,FAIL, , , ,FAIL, ,6,
99, , , , ,FAIL, , , ,FAIL, , , ,PASS,FAIL, , , , ,FAIL,FAIL,FAIL, , , ,FAIL, ,7,
