Mutant,org.apache.commons.math.optimization.fitting.CurveFitterTest[testMath304],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testTrivial],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testMoreEstimatedParametersSimple],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testInconsistentEquations],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testInconsistentSizes],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testRedundantEquations],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testQRColumnsPermutation],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testTwoSets],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testMoreEstimatedParametersUnsorted],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testIllConditioned],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testMath199],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testOneSet],org.apache.commons.math.optimization.general.MinpackTest[testMinpackBox3Dimensional],org.apache.commons.math.optimization.general.MinpackTest[testMinpackLinearFullRank],org.apache.commons.math.optimization.general.MinpackTest[testMinpackLinearRank1ZeroColsAndRows],org.apache.commons.math.optimization.general.MinpackTest[testMinpackJennrichSampson],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testControlParameters],org.apache.commons.math.optimization.general.MinpackTest[testMinpackRosenbrok],org.apache.commons.math.optimization.general.MinpackTest[testMinpackFreudensteinRoth],org.apache.commons.math.optimization.general.MinpackTest[testMinpackHelicalValley],org.apache.commons.math.optimization.fitting.HarmonicFitterTest[testNoError],org.apache.commons.math.optimization.general.MinpackTest[testMinpackOsborne1],org.apache.commons.math.optimization.general.MinpackTest[testMinpackBard],org.apache.commons.math.optimization.fitting.HarmonicFitterTest[testInitialGuess],org.apache.commons.math.optimization.fitting.HarmonicFitterTest[testUnsorted],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testCircleFittingBadInit],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testNonInversible],org.apache.commons.math.optimization.general.MinpackTest[testMinpackOsborne2],org.apache.commons.math.optimization.fitting.CurveFitterTest[testMath303],org.apache.commons.math.optimization.general.MinpackTest[testMinpackPowellSingular],org.apache.commons.math.optimization.fitting.PolynomialFitterTest[testRedundantSolvable],org.apache.commons.math.optimization.general.MinpackTest[testMinpackLinearRank1],org.apache.commons.math.optimization.fitting.HarmonicFitterTest[test1PercentError],org.apache.commons.math.optimization.general.MinpackTest[testMinpackChebyquad],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testNoDependency],org.apache.commons.math.optimization.general.MinpackTest[testMinpackMeyer],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testCircleFitting],org.apache.commons.math.optimization.general.MinpackTest[testMinpackKowalikOsborne],org.apache.commons.math.optimization.general.MinpackTest[testMinpackWatson],org.apache.commons.math.optimization.fitting.PolynomialFitterTest[testNoError],org.apache.commons.math.optimization.fitting.PolynomialFitterTest[testSmallError],org.apache.commons.math.optimization.general.MinpackTest[testMinpackBrownDennis],org.apache.commons.math.optimization.general.MinpackTest[testMinpackBrownAlmostLinear],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer_ESTest[test0],Total,Equiv?
1,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,EXC,EXC,EXC,EXC,PASS,EXC,PASS,FAIL,PASS,EXC,PASS,EXC,PASS,EXC,PASS,PASS,EXC,EXC,PASS,PASS,FAIL,24,
10,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
100,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS, ,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS, ,9,
1000, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, ,PASS,PASS,PASS, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,FAIL,PASS, ,FAIL,FAIL, ,8,
1001, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, ,PASS,PASS,PASS, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,FAIL,PASS, ,FAIL,FAIL, ,8,
1002, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, ,PASS,PASS,PASS, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,PASS,PASS, ,FAIL,FAIL, ,7,
1003, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, ,PASS,PASS,FAIL, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,FAIL,PASS, ,FAIL,FAIL, ,9,
1004, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1005, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1006, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1007, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1008, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
