Mutant,org.apache.commons.math.linear.SingularValueDecompositionImplTest[testConditionNumber],org.apache.commons.math.linear.SingularValueDecompositionImplTest[testMoreRows],org.apache.commons.math.linear.SingularValueDecompositionImplTest[testVOrthogonal],org.apache.commons.math.linear.SingularValueDecompositionImplTest[testMatricesValues1],org.apache.commons.math.linear.SingularValueDecompositionImplTest[testMatricesValues2],org.apache.commons.math.linear.SingularValueSolverTest[testConditionNumber],org.apache.commons.math.linear.SingularValueSolverTest[testLeastSquareSolve],org.apache.commons.math.linear.SingularValueSolverTest[testMath320B],org.apache.commons.math.linear.SingularValueDecompositionImplTest[testMoreColumns],org.apache.commons.math.linear.SingularValueDecompositionImplTest[testDimensions],org.apache.commons.math.linear.SingularValueDecompositionImplTest[testAEqualUSVt],org.apache.commons.math.linear.SingularValueDecompositionImplTest[testHadamard],org.apache.commons.math.linear.SingularValueSolverTest[testSolve],org.apache.commons.math.linear.SingularValueSolverTest[testMath320A],org.apache.commons.math.linear.SingularValueSolverTest[testSolveDimensionErrors],org.apache.commons.math.linear.SingularValueDecompositionImplTest[testUOrthogonal],org.apache.commons.math.linear.SingularValueSolverTest[testTruncated],org.apache.commons.math.linear.SingularValueDecompositionImpl_ESTest[test04],org.apache.commons.math.linear.SingularValueDecompositionImpl_ESTest[test00],org.apache.commons.math.linear.SingularValueDecompositionImpl_ESTest[test11],org.apache.commons.math.linear.SingularValueDecompositionImpl_ESTest[test05],org.apache.commons.math.linear.SingularValueDecompositionImpl_ESTest[test12],org.apache.commons.math.linear.SingularValueDecompositionImpl_ESTest[test10],org.apache.commons.math.linear.SingularValueDecompositionImpl_ESTest[test03],org.apache.commons.math.linear.SingularValueDecompositionImpl_ESTest[test02],org.apache.commons.math.linear.SingularValueDecompositionImpl_ESTest[test09],org.apache.commons.math.linear.SingularValueDecompositionImpl_ESTest[test01],org.apache.commons.math.linear.SingularValueDecompositionImpl_ESTest[test06],org.apache.commons.math.linear.SingularValueDecompositionImpl_ESTest[test08],org.apache.commons.math.linear.SingularValueDecompositionImpl_ESTest[test07],Total,Equiv?
1,PASS,PASS,EXC,EXC,EXC,PASS,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,EXC,PASS,EXC,EXC,PASS,EXC,PASS,EXC,EXC,PASS,19,
10,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,30,
100,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,30,
101, , , , , , ,TIME,TIME, , , , , ,TIME, , , ,PASS,PASS, ,PASS, , , ,PASS, ,PASS, ,PASS, ,3,
102,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,30,
103,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,22,
104,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,30,
105,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
106,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,30,
107,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,EXC,EXC,PASS,PASS,FAIL,FAIL,FAIL,EXC,FAIL,EXC,FAIL,FAIL,FAIL,26,
