Mutant,org.apache.commons.math.optimization.linear.SimplexSolverTest[testSingleVariableAndConstraint],org.apache.commons.math.optimization.linear.SimplexSolverTest[testMath286],org.apache.commons.math.optimization.linear.SimplexSolverTest[testModelWithNoArtificialVars],org.apache.commons.math.optimization.linear.SimplexSolverTest[testMinimization],org.apache.commons.math.optimization.linear.SimplexSolverTest[testSolutionWithNegativeDecisionVariable],org.apache.commons.math.optimization.linear.SimplexSolverTest[testEpsilon],org.apache.commons.math.optimization.linear.SimplexSolverTest[testSimplexSolver],org.apache.commons.math.optimization.linear.SimplexSolverTest[testTrivialModel],org.apache.commons.math.optimization.linear.SimplexSolverTest[testInfeasibleSolution],org.apache.commons.math.optimization.linear.SimplexSolverTest[testMath272],org.apache.commons.math.optimization.linear.SimplexSolverTest[testMath288],org.apache.commons.math.optimization.linear.SimplexSolverTest[testUnboundedSolution],org.apache.commons.math.optimization.linear.SimplexSolverTest[testRestrictVariablesToNonNegative],org.apache.commons.math.optimization.linear.SimplexSolverTest[testLargeModel],org.apache.commons.math.optimization.linear.SimplexSolver_ESTest[test2],org.apache.commons.math.optimization.linear.SimplexSolver_ESTest[test1],org.apache.commons.math.optimization.linear.SimplexSolver_ESTest[test0],org.apache.commons.math.optimization.linear.SimplexSolver_ESTest[test5],org.apache.commons.math.optimization.linear.SimplexSolver_ESTest[test4],org.apache.commons.math.optimization.linear.SimplexSolver_ESTest[test3],Total,Equiv?
1,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,EXC,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
10,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,EXC, ,PASS,PASS, , , ,4,
100,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC, , , ,15,
101, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,PASS, ,EXC,PASS,PASS, , ,FAIL, ,PASS, ,7,
102, ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS, ,0,
103, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,FAIL, ,PASS, ,10,
104, ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS, ,0,
105, ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS, ,0,
106, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,FAIL, ,PASS, ,10,
107, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,FAIL, ,PASS, ,10,
