Mutant,org.apache.commons.math.optimization.direct.MultiDirectionalTest[testMath283],org.apache.commons.math.optimization.direct.MultiDirectionalTest[testRosenbrock],org.apache.commons.math.optimization.direct.MultiDirectionalTest[testMinimizeMaximize],org.apache.commons.math.optimization.direct.MultiDirectionalTest[testPowell],org.apache.commons.math.optimization.direct.MultiDirectional_ESTest[test1],org.apache.commons.math.optimization.direct.MultiDirectionalTest[testFunctionEvaluationExceptions],org.apache.commons.math.optimization.direct.MultiDirectional_ESTest[test0],Total,Equiv?
1,PASS,PASS,FAIL,FAIL, , ,PASS,2,
10,PASS,EXC,EXC,EXC,PASS, , ,3,
100,EXC,PASS,FAIL,EXC,PASS, , ,3,
101,EXC,EXC,EXC,EXC,PASS, , ,4,
102,EXC,EXC,EXC,EXC,PASS, , ,4,
103,PASS,EXC,EXC,EXC,PASS, , ,3,
104,EXC,EXC,EXC,EXC,PASS, , ,4,
105,EXC,EXC,FAIL,EXC,PASS, , ,4,
106,PASS,PASS,FAIL,FAIL,PASS, , ,2,
107,PASS,FAIL,FAIL,FAIL,PASS, , ,3,
108,EXC,EXC,EXC,EXC,PASS, , ,4,
109,PASS,FAIL,FAIL,FAIL,PASS, , ,3,
11,EXC,EXC,EXC,EXC,EXC, , ,5,
110,PASS,PASS,PASS,PASS,PASS, , ,0,
111,EXC,EXC,EXC,EXC,PASS, , ,4,
112,EXC,EXC,EXC,EXC,FAIL, , ,5,
113,PASS,PASS,FAIL,FAIL, , , ,2,
114,EXC,EXC,EXC,EXC, , , ,4,
12,PASS,PASS,FAIL,FAIL,PASS, , ,2,
13,PASS,PASS,FAIL,FAIL,PASS, , ,2,
14,PASS,EXC,EXC,EXC, , , ,3,
15,PASS,PASS,FAIL,FAIL, , , ,2,
16,PASS,PASS,PASS,PASS, , , ,0,
17,PASS,EXC,EXC,EXC, , , ,3,
18,PASS,EXC,FAIL,FAIL, , , ,3,
19,PASS,PASS,FAIL,FAIL, , , ,2,
2,PASS,PASS,FAIL,FAIL, , ,PASS,2,
20,PASS,EXC,FAIL,FAIL, , , ,3,
21,PASS,PASS,FAIL,FAIL, , , ,2,
22,PASS,EXC,EXC,EXC, , , ,3,
23, ,EXC,EXC,EXC, , , ,3,
24, ,EXC,EXC,EXC, , , ,3,
25, ,PASS,FAIL,FAIL, , , ,2,
26, ,PASS,PASS,PASS, , , ,0,
27, ,PASS,FAIL,FAIL, , , ,2,
28, ,PASS,PASS,PASS, , , ,0,
29, ,FAIL,FAIL,FAIL, , , ,3,
3,PASS,FAIL,FAIL,FAIL, , ,PASS,3,
30, ,FAIL,FAIL,FAIL, , , ,3,
31, ,FAIL,FAIL,FAIL, , , ,3,
32, ,FAIL,FAIL,FAIL, , , ,3,
33, ,PASS,FAIL,FAIL, , , ,2,
34, ,FAIL,FAIL,FAIL, , , ,3,
35, ,PASS,FAIL,FAIL, , , ,2,
36,EXC,EXC,EXC,EXC, , , ,4,
37,PASS,PASS,PASS,PASS, , , ,0,
38,PASS,PASS,PASS,PASS, , , ,0,
39,PASS,PASS,PASS,PASS, , , ,0,
4,PASS,PASS,FAIL,FAIL, , ,PASS,2,
40,PASS,PASS,PASS,PASS, , , ,0,
41,PASS,PASS,PASS,PASS, , , ,0,
42,PASS,PASS,PASS,PASS, , , ,0,
43,PASS,PASS,PASS,PASS, , , ,0,
44,PASS,PASS,PASS,PASS, , , ,0,
45,PASS,PASS,PASS,PASS, , , ,0,
46, ,PASS,PASS,PASS, , , ,0,
47,PASS,PASS,PASS,PASS, , , ,0,
48,EXC,PASS,FAIL,PASS, , , ,2,
49,PASS,PASS,PASS,PASS, , , ,0,
5, , , , ,PASS,PASS, ,0,
50,EXC,EXC,EXC,EXC, , , ,4,
51,PASS,PASS,PASS,PASS, , , ,0,
52,EXC,EXC,EXC,EXC, , , ,4,
53,PASS,PASS,PASS,PASS, , , ,0,
54,PASS,PASS,PASS,PASS, , , ,0,
55,PASS,PASS,PASS,PASS, , , ,0,
56,PASS,PASS,PASS,PASS, , , ,0,
57,EXC,EXC,EXC,EXC, , , ,4,
58,PASS,PASS,PASS,PASS, , , ,0,
59,EXC,PASS,FAIL,PASS, , , ,2,
6, , , , ,PASS,PASS, ,0,
60,PASS,PASS,PASS,PASS, , , ,0,
61,EXC,PASS,FAIL, , , , ,2,
62,PASS,PASS,FAIL,FAIL,PASS, , ,2,
63,EXC,EXC,EXC,EXC,EXC, , ,5,
64,PASS,FAIL,FAIL,FAIL,FAIL, , ,4,
65,EXC,EXC,EXC,EXC,EXC, , ,5,
66,EXC,EXC,EXC,EXC,EXC, , ,5,
67,EXC,EXC,EXC,EXC,EXC, , ,5,
68,EXC,EXC,EXC,EXC,EXC, , ,5,
69,EXC,EXC,EXC,EXC,EXC, , ,5,
7,EXC,EXC,EXC,EXC,PASS, , ,4,
70,EXC,EXC,EXC,EXC,EXC, , ,5,
71,PASS,PASS,FAIL,FAIL,PASS, , ,2,
72,EXC,EXC,EXC,EXC,PASS, , ,4,
73,EXC,EXC,EXC,EXC,EXC, , ,5,
74,FAIL,EXC,FAIL,EXC,PASS, , ,4,
75,EXC,EXC,EXC,EXC,EXC, , ,5,
76,EXC,EXC,EXC,EXC,PASS, , ,4,
77,PASS,PASS,FAIL,FAIL,PASS, , ,2,
78,EXC,EXC,EXC,EXC,EXC, , ,5,
79,EXC,EXC,EXC,EXC,PASS, , ,4,
8,EXC,TIME,TIME,TIME,PASS, , ,4,
80,EXC,EXC,EXC,EXC,PASS, , ,4,
81,EXC,EXC,EXC,EXC,PASS, , ,4,
82,EXC,EXC,EXC,EXC,PASS, , ,4,
83,EXC,EXC,EXC,EXC,FAIL, , ,5,
84,EXC,EXC,EXC,EXC,PASS, , ,4,
85,EXC,EXC,EXC,EXC,FAIL, , ,5,
86,EXC,EXC,EXC,EXC,FAIL, , ,5,
87,EXC,EXC,EXC,EXC,FAIL, , ,5,
88,PASS,PASS,FAIL,FAIL,PASS, , ,2,
89,EXC,EXC,EXC,EXC,EXC, , ,5,
9,EXC,EXC,EXC,EXC,FAIL, , ,5,
90,PASS,PASS,PASS,PASS,PASS, , ,0,
91,EXC,EXC,EXC,EXC,EXC, , ,5,
92,PASS,FAIL,FAIL,FAIL,PASS, , ,3,
93,PASS,FAIL,FAIL,FAIL,PASS, , ,3,
94,PASS,FAIL,FAIL,FAIL,PASS, , ,3,
95,PASS,FAIL,FAIL,FAIL,PASS, , ,3,
96,EXC,EXC,EXC,EXC,EXC, , ,5,
97,EXC,FAIL,EXC,EXC,PASS, , ,4,
98,PASS,EXC,FAIL,EXC,PASS, , ,3,
99,PASS,FAIL,FAIL,FAIL,PASS, , ,3,
