Mutant,org.apache.commons.math.linear.CholeskyDecompositionImplTest[testDimensions],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testMath274],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testNotPositiveDefinite],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testLTTransposed],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testAEqualLLT],org.apache.commons.math.linear.CholeskySolverTest[testDeterminant],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testLLowerTriangular],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testNotSymmetricMatrixException],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testNonSquare],org.apache.commons.math.linear.CholeskySolverTest[testSolveDimensionErrors],org.apache.commons.math.linear.CholeskyDecompositionImplTest[testMatricesValues],org.apache.commons.math.linear.CholeskySolverTest[testSolve],org.apache.commons.math.linear.CholeskyDecompositionImpl_ESTest[test6],org.apache.commons.math.linear.CholeskyDecompositionImpl_ESTest[test5],org.apache.commons.math.linear.CholeskyDecompositionImpl_ESTest[test3],org.apache.commons.math.linear.CholeskyDecompositionImpl_ESTest[test4],org.apache.commons.math.linear.CholeskyDecompositionImpl_ESTest[test0],org.apache.commons.math.linear.CholeskyDecompositionImpl_ESTest[test1],org.apache.commons.math.linear.CholeskyDecompositionImpl_ESTest[test2],Total,Equiv?
1,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,PASS,EXC,PASS,EXC,PASS,15,
10,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS, ,EXC,EXC,EXC,EXC,EXC,PASS,EXC,PASS,EXC, ,14,
100,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL, , , ,PASS, ,PASS, ,6,
101,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL, , , ,PASS, ,PASS, ,5,
102,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS, , ,PASS,FAIL,FAIL, , , ,PASS, ,PASS, ,6,
103,EXC, , ,EXC,EXC, ,EXC, , , ,EXC, , ,FAIL, ,PASS, , , ,6,
104,EXC, , ,EXC,EXC, ,EXC, , , ,EXC, , ,FAIL, ,PASS, , , ,6,
105,PASS, , ,PASS,PASS, ,PASS, , , ,FAIL, , ,PASS, ,PASS, , , ,1,
106,EXC, , ,EXC,EXC, ,EXC, , , ,EXC, , ,FAIL, ,PASS, , , ,6,
107,EXC, , ,EXC,EXC, ,EXC, , , ,EXC, , ,FAIL, ,PASS, , , ,6,
108,EXC, , ,EXC,EXC, ,EXC, , , ,EXC, , ,EXC, ,EXC, , , ,7,
