Mutant,org.apache.commons.math.stat.FrequencyTest[testPcts],org.apache.commons.math.stat.FrequencyTest[testToString],org.apache.commons.math.stat.FrequencyTest[testAddNonComparable],org.apache.commons.math.stat.FrequencyTest[testAdd],org.apache.commons.math.stat.FrequencyTest[testIntegerValues],org.apache.commons.math.stat.FrequencyTest[testCounts],org.apache.commons.math.stat.FrequencyTest[testEmptyTable],org.apache.commons.math.stat.Frequency_ESTest[test11],org.apache.commons.math.stat.Frequency_ESTest[test10],org.apache.commons.math.stat.Frequency_ESTest[test05],org.apache.commons.math.stat.Frequency_ESTest[test03],org.apache.commons.math.stat.Frequency_ESTest[test14],org.apache.commons.math.stat.Frequency_ESTest[test00],org.apache.commons.math.stat.Frequency_ESTest[test16],org.apache.commons.math.stat.Frequency_ESTest[test04],org.apache.commons.math.stat.Frequency_ESTest[test15],org.apache.commons.math.stat.Frequency_ESTest[test02],org.apache.commons.math.stat.Frequency_ESTest[test09],org.apache.commons.math.stat.Frequency_ESTest[test08],org.apache.commons.math.stat.Frequency_ESTest[test18],org.apache.commons.math.stat.Frequency_ESTest[test06],org.apache.commons.math.stat.Frequency_ESTest[test17],org.apache.commons.math.stat.Frequency_ESTest[test07],org.apache.commons.math.stat.Frequency_ESTest[test12],org.apache.commons.math.stat.Frequency_ESTest[test01],org.apache.commons.math.stat.Frequency_ESTest[test13],Total,Equiv?
1,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC, , ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,20,
10, ,PASS, , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,1,
100,FAIL,PASS, ,PASS,FAIL,FAIL, , , , , , , , , , , , , ,PASS, ,PASS,PASS,PASS, , ,3,
101,EXC,PASS, ,PASS,PASS,EXC, , , , , , , , , , , , , ,EXC, ,PASS,EXC,PASS, , ,4,
102,FAIL,PASS, ,PASS,FAIL,FAIL, , , , , , , , , , , , , , , ,PASS, ,PASS, , ,3,
103,EXC, , ,EXC, ,EXC, , , , , , , , , , , , , , , , , , , , ,3,
104,FAIL,PASS, ,PASS,FAIL,FAIL, , , , , , , , , , , , , ,PASS, ,FAIL,PASS,FAIL, , ,5,
105,PASS,PASS, ,PASS,PASS,PASS, , , , , , , , , , , , , ,PASS, ,PASS,PASS,PASS, , ,0,
106,FAIL,PASS, ,FAIL,PASS,FAIL, , , , , , , , , , , , , ,PASS, ,PASS,FAIL,PASS, , ,4,
107,FAIL,PASS, ,PASS,FAIL,FAIL, , , , , , , , , , , , , ,PASS, ,FAIL,PASS,FAIL, , ,5,
108,FAIL,PASS, ,PASS,FAIL,FAIL, , , , , , , , , , , , , ,PASS, ,FAIL,PASS,FAIL, , ,5,
109,FAIL,PASS, ,FAIL,PASS,FAIL, , , , , , , , , , , , , ,PASS, ,PASS,FAIL,PASS, , ,4,
11, ,PASS, , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,1,
110,FAIL,PASS, ,FAIL,FAIL,FAIL, , , , , , , , , , , , , ,PASS, ,FAIL,FAIL,FAIL, , ,7,
111,PASS,PASS, ,PASS,PASS,PASS, , , , , , , , , , , , , ,PASS, ,PASS,PASS,PASS, , ,0,
112,FAIL,PASS, ,FAIL,FAIL,FAIL, , , , , , , , , , , , , ,PASS, ,FAIL,FAIL,FAIL, , ,7,
113,FAIL, , , , ,FAIL, , , , , , , , , , , , , ,FAIL, , , , , , ,3,
114,FAIL, , , , ,FAIL, , , , , , , , , , , , , ,FAIL, , , , , , ,3,
115,PASS, , , , ,PASS, , , , , , , , , , , , , ,PASS, , , , , , ,0,
116,PASS,PASS, ,PASS,PASS,PASS, , , , , , , , , , , , , , , ,PASS,PASS,PASS, , ,0,
117,FAIL,PASS, ,PASS,FAIL,FAIL, , , , , , , , , , , , , , , ,PASS,FAIL,PASS, , ,4,
118,FAIL,PASS, ,PASS,FAIL,FAIL, , , , , , , , , , , , , , , ,PASS,FAIL,PASS, , ,4,
119,FAIL,PASS, ,PASS,FAIL,FAIL, , , , , , , , , , , , , , , ,PASS,FAIL,PASS, , ,4,
12, ,PASS, , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,1,
120,FAIL,PASS, ,PASS,FAIL,FAIL, , , , , , , , , , , , , , , ,PASS,FAIL,PASS, , ,4,
121,PASS,PASS, ,PASS,PASS,PASS, , , , , , , , , , , , , , , ,PASS,PASS,PASS, , ,0,
122,PASS,PASS, ,PASS,PASS,PASS, , , , , , , , , , , , , , , ,PASS,PASS,PASS, , ,0,
123,PASS,PASS, ,PASS,PASS,PASS, , , , , , , , , , , , , , , ,PASS,PASS,PASS, , ,0,
124,FAIL,PASS, ,PASS,FAIL,FAIL, , , , , , , , , , , , , , , ,PASS,FAIL,PASS, , ,4,
125,PASS,PASS, ,PASS, ,PASS, , , , , , , , , , , , , , , ,PASS, ,PASS, , ,0,
126,EXC,EXC, , ,EXC,EXC, , , , , , , , , , , , , , , , ,EXC, , , ,5,
127,EXC,EXC, , ,EXC,EXC, , , , , , , , , , , , , , , , ,EXC, , , ,5,
128,FAIL,PASS, , ,PASS,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , ,3,
129,FAIL,PASS, , ,FAIL,FAIL, , , , , , , , , , , , , , , , ,PASS, , , ,3,
13, ,PASS, , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,1,
130,PASS,PASS, , ,PASS,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , ,2,
131,FAIL,PASS, , ,PASS,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , ,3,
132,FAIL,PASS, , ,FAIL,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , ,4,
133,FAIL,PASS, , ,FAIL,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , ,4,
134,FAIL,PASS, , ,FAIL,FAIL, , , , , , , , , , , , , , , , ,PASS, , , ,3,
135,FAIL,PASS, , ,PASS,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , ,3,
136,FAIL,PASS, , ,FAIL,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , ,4,
137,FAIL, , , , ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , ,3,
138,PASS,PASS, , ,PASS,PASS, , , , , , , , , , , , , , , , ,PASS, , , ,0,
139, , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
14, ,PASS, , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,1,
140, , , , , ,FAIL,PASS, , , , , , , , , ,PASS, , , , , , , , , ,1,
141,FAIL, , , ,FAIL,FAIL, , , , , , , , , , , , , , , ,FAIL, , , , ,4,
142, , , , , ,FAIL, , , , , , , , , , , , , , ,PASS, , , , , ,1,
143,FAIL,PASS, ,FAIL,FAIL,FAIL,PASS, ,PASS, , , , , , , , , , ,FAIL, ,FAIL,FAIL,FAIL, , ,8,
144,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS, , , , , , , , , , ,FAIL, ,FAIL,PASS,FAIL, , ,3,
145,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS, , , , , , , , , , ,PASS, ,PASS,PASS,PASS, , ,0,
146,FAIL,PASS, ,FAIL,FAIL,FAIL,PASS, ,PASS, , , , , , , , , , ,FAIL, ,FAIL,FAIL,FAIL, , ,8,
147,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS, , , , , , , , , , ,PASS, ,PASS,PASS,PASS, , ,0,
148,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS, , , , , , , , , , ,PASS, ,PASS,PASS,PASS, , ,0,
149,FAIL,PASS, ,FAIL,FAIL,FAIL,PASS, ,PASS, , , , , , , , , , ,FAIL, ,FAIL,FAIL,FAIL, , ,8,
15, ,PASS, , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,1,
150,FAIL,PASS, ,FAIL,FAIL,FAIL,PASS, ,PASS, , , , , , , , , , ,FAIL, ,FAIL,FAIL,FAIL, , ,8,
151,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS, , , , , , , , , , ,PASS, ,PASS,PASS,PASS, , ,0,
152,FAIL,PASS, ,FAIL,FAIL,FAIL,PASS, ,PASS, , , , , , , , , , ,FAIL, ,FAIL,FAIL,FAIL, , ,8,
153, , , , , ,PASS,PASS, ,PASS, , , , , , , , , , , , , , , , , ,0,
154,FAIL,PASS, ,FAIL,FAIL,FAIL, , , , , , , , , , , , , ,PASS, ,FAIL,FAIL,FAIL, , ,7,
155,FAIL,PASS, ,FAIL,FAIL,FAIL, , , , , , , , , , , , , ,PASS, ,PASS,FAIL,PASS, , ,5,
156,FAIL,PASS, ,FAIL,FAIL,FAIL, , , , , , , , , , , , , ,FAIL, ,FAIL,FAIL,FAIL, , ,8,
157,FAIL,PASS, ,FAIL,FAIL,FAIL, , , , , , , , , , , , , ,FAIL, ,FAIL,FAIL,FAIL, , ,8,
158,FAIL, , , ,FAIL,FAIL,FAIL, ,FAIL, , , , , , , , , , , , , , , , , ,5,
159,FAIL, , , , , , , , , , , , , , , , , , , , , ,FAIL, , , ,2,
