Mutant,org.apache.commons.math.distribution.FDistributionTest[testDfAccessors],org.apache.commons.math.distribution.FDistributionTest[testInverseCumulativeProbabilityExtremes],org.apache.commons.math.distribution.FDistributionTest[testIllegalArguments],org.apache.commons.math.stat.inference.OneWayAnovaTest[testAnovaPValue],org.apache.commons.math.distribution.FDistributionTest[testCumulativeProbabilityExtremes],org.apache.commons.math.distribution.FDistributionTest[testCumulativeProbabilities],org.apache.commons.math.distribution.FDistributionTest[testConsistency],org.apache.commons.math.distribution.FDistributionTest[testLargeDegreesOfFreedom],org.apache.commons.math.distribution.FDistributionTest[testInverseCumulativeProbabilities],org.apache.commons.math.stat.inference.TestUtilsTest[testOneWayAnovaUtils],org.apache.commons.math.stat.inference.OneWayAnovaTest[testAnovaTest],org.apache.commons.math.distribution.FDistributionTest[testSmallDegreesOfFreedom],org.apache.commons.math.distribution.FDistributionImpl_ESTest[test5],org.apache.commons.math.distribution.FDistributionImpl_ESTest[test2],org.apache.commons.math.distribution.FDistributionImpl_ESTest[test1],org.apache.commons.math.distribution.FDistributionImpl_ESTest[test3],org.apache.commons.math.distribution.FDistributionImpl_ESTest[test4],org.apache.commons.math.distribution.FDistributionImpl_ESTest[test0],Total,Equiv?
1,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,10,
10, , , ,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , , ,PASS,1,
100,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,18,
101,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,18,
102,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,2,
103,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,18,
104,PASS, , , , , , , , , , , , , , , ,PASS, ,0,
105,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,10,
106,FAIL, , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, ,PASS,FAIL, , ,FAIL,10,
107,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,EXC,PASS,EXC,EXC,PASS,4,
108,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,2,
109,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,18,
11, , , ,FAIL,PASS,FAIL,PASS,FAIL,TIME,PASS,FAIL,FAIL, , , , , ,PASS,6,
110,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,2,
